Stretch Ratio (-),Stress (Pa)
1.46,3591.4390690416426
1.47,3866.354824963357
1.48,4159.456481571144
1.49,4471.691509086388
1.5,4804.032700847741
1.51,5157.476360135966
1.52,5533.040189810117
1.53,5931.76087746456
1.54,6354.691372496748
1.55,6802.897855703614
1.56,7277.45640679332
1.57,7779.449380416166
1.58,8309.961506945534
1.59,8870.075740128295
1.6,9460.868879764297
1.61,10083.407003599443
1.62,10738.740748448965
1.63,11427.900486005236
1.64,12151.891443667035
1.65,12911.688824769539
1.66,13708.23298572338
1.67,14542.424729506907
1.68,15415.120775671525
1.69,16327.129466228464
1.7,17279.206764840874
1.71,18272.05260258258
1.72,19306.307620455533
1.73,20382.55034901714
1.74,21501.294862753526
1.75,22662.98893518291
1.76,23868.01271345584
1.77,25116.677921874332
1.78,26409.227594441185
1.79,27745.836327598077
1.8,29126.61103582391
1.81,30551.592184916553
1.82,32020.755470887776
1.83,33534.01390655228
1.84,35091.22027321555
1.85,36692.169891410354
1.86,38336.60366239377
1.87,40024.21133119202
1.88,41754.6349218047
1.89,43527.47229680478
1.9,45342.28079501339
1.91,47198.580903982904
1.92,49095.85992748054
1.93,51033.575611570785
1.94,53011.15969730561
1.95,55028.02137207799
1.96,57083.550596060304
1.97,59177.121284127985
1.98,61308.09432803925
1.99,63475.82044704448
2.0,65679.64285883663
2.01,67918.89976598862
2.02,70192.92665551897
2.03,72501.0584121895
2.04,74842.63124789922
2.05,77216.98445152363
2.06,79623.46196496702
2.07,82061.41379241784
2.08,84530.19725064533
2.09,87029.17806889366
2.1,89557.73134734227
2.11,92115.24238336278
2.12,94701.10737488823
2.13,97314.73401020173
2.14,99955.54195322047
2.15,102622.96323319196
2.16,105316.44254732615
2.17,108035.43748455422
2.18,110779.41867815833
2.19,113547.86989465042
2.2,116340.28806565375
2.21,119156.18326942837
2.22,121995.07866750003
2.23,124856.51040262397
2.24,127740.02746240418
2.25,130645.19151364817
2.26,133571.57671149794
2.27,136518.76948723852
2.28,139486.3683182374
2.29,142473.98348313285
2.3,145481.23680510698
2.31,148507.76138579924
2.32,151553.2013320535
2.33,154617.2114774131
2.34,157699.457100535
2.35,160799.61364144506
2.36,163917.36641755496
2.37,167052.41034039203
2.38,170204.44963405892
2.39,173373.1975564206
2.4,176558.3761237421
2.41,179759.7158392939
2.42,182976.955426863
2.43,186209.84156900126
2.44,189458.12865124637
