Nu Mu Alpha TotalCost
0.490 0.660 -24.300 19.343
0.490 0.660 -24.300 19.343
0.490 0.660 -24.300 19.343
0.490 0.660 -24.300 19.343
0.400 0.001 -23.858 1.676
0.400 0.001 -23.858 1.676
0.400 0.001 -23.858 1.676
0.400 0.001 -23.858 1.676
0.401 0.016 -23.868 1.594
0.401 0.016 -23.868 1.594
0.401 0.016 -23.868 1.594
0.401 0.016 -23.868 1.594
0.404 0.074 -23.906 1.280
0.404 0.074 -23.906 1.280
0.404 0.074 -23.906 1.280
0.404 0.074 -23.906 1.280
0.417 0.306 -24.060 0.333
0.417 0.306 -24.060 0.333
0.417 0.306 -24.060 0.333
0.417 0.306 -24.060 0.333
0.495 0.684 -24.320 64.631
0.495 0.684 -24.320 64.632
0.495 0.684 -24.320 64.631
0.495 0.684 -24.320 64.631
0.442 0.428 -24.144 0.086
0.442 0.428 -24.144 0.086
0.442 0.428 -24.144 0.086
0.442 0.428 -24.144 0.086
0.436 0.433 -24.147 0.078
0.436 0.433 -24.147 0.078
0.436 0.433 -24.147 0.078
0.436 0.433 -24.147 0.078
0.425 0.475 -24.174 0.058
0.425 0.475 -24.174 0.058
0.425 0.475 -24.174 0.058
0.425 0.475 -24.174 0.058
0.404 0.558 -24.227 0.042
0.404 0.558 -24.227 0.042
0.404 0.558 -24.227 0.042
0.404 0.558 -24.227 0.042
0.404 0.557 -24.228 0.042
0.404 0.557 -24.228 0.042
0.404 0.557 -24.228 0.042
0.404 0.557 -24.228 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.229 0.042
0.403 0.558 -24.230 0.042
0.403 0.558 -24.230 0.042
0.403 0.558 -24.230 0.042
0.403 0.558 -24.230 0.042
0.403 0.558 -24.231 0.042
0.403 0.558 -24.231 0.042
0.403 0.558 -24.231 0.042
0.403 0.558 -24.231 0.042
0.402 0.558 -24.235 0.042
0.402 0.558 -24.235 0.042
0.402 0.558 -24.235 0.042
0.402 0.558 -24.235 0.042
0.402 0.558 -24.246 0.042
0.402 0.558 -24.246 0.042
0.402 0.558 -24.246 0.042
0.402 0.558 -24.246 0.042
0.402 0.558 -24.275 0.042
0.402 0.558 -24.275 0.042
0.402 0.558 -24.275 0.042
0.402 0.558 -24.275 0.042
0.402 0.557 -24.346 0.042
0.402 0.557 -24.346 0.042
0.402 0.557 -24.346 0.042
0.402 0.557 -24.346 0.042
0.402 0.554 -24.510 0.042
0.402 0.554 -24.510 0.042
0.402 0.554 -24.510 0.042
0.402 0.554 -24.510 0.042
0.403 0.545 -24.831 0.041
0.403 0.545 -24.831 0.041
0.403 0.545 -24.831 0.041
0.403 0.545 -24.831 0.041
0.406 0.532 -25.289 0.041
0.406 0.532 -25.289 0.041
0.406 0.532 -25.289 0.041
0.406 0.532 -25.289 0.041
0.413 0.494 -25.861 0.042
0.413 0.494 -25.861 0.042
0.413 0.494 -25.861 0.042
0.413 0.494 -25.861 0.042
0.407 0.526 -25.383 0.041
0.407 0.526 -25.383 0.041
0.407 0.526 -25.383 0.041
0.407 0.526 -25.383 0.041
0.411 0.515 -25.715 0.041
0.411 0.515 -25.715 0.041
0.411 0.515 -25.715 0.041
0.411 0.515 -25.715 0.041
0.411 0.515 -25.683 0.041
0.411 0.515 -25.683 0.041
0.411 0.515 -25.683 0.041
0.411 0.515 -25.683 0.041
0.411 0.517 -25.627 0.041
0.411 0.517 -25.627 0.041
0.411 0.517 -25.627 0.041
0.411 0.517 -25.627 0.041
0.411 0.516 -25.634 0.041
0.411 0.516 -25.634 0.041
0.411 0.516 -25.634 0.041
0.411 0.516 -25.634 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.517 -25.628 0.041
0.411 0.517 -25.628 0.041
0.411 0.517 -25.628 0.041
0.411 0.517 -25.628 0.041
