Stretch Ratio (-),Stress (Pa)
1.69,884.3156542137855
1.7,893.6262975778524
1.71,902.8895249820432
1.72,912.1064359113004
1.73,921.2780981656558
1.74,930.4055489495939
1.75,939.4897959183642
1.76,948.5318181818154
1.77,957.5325672699388
1.78,966.492968059585
1.79,975.413919665428
1.8,984.2962962962933
1.81,993.1409480785048
1.82,1001.9487018475999
1.83,1010.7203619098777
1.84,1019.4567107750438
1.85,1028.158509861209
1.86,1036.8265001734271
1.87,1045.4614029569009
1.88,1054.0639203259361
1.89,1062.634735869653
1.9,1071.1745152354533
1.91,1079.6839066911507
1.92,1088.163541666663
1.93,1096.6140352761108
1.94,1105.0359868211249
1.95,1113.4299802761304
1.96,1121.796584756348
1.97,1130.1363549692041
1.98,1138.4498316498277
1.99,1146.7375419812595
2.0,1154.9999999999957
2.01,1163.2377069874458
2.02,1171.451151847811
2.03,1179.6408114732171
2.04,1187.807151095727
2.05,1195.9506246281924
2.06,1204.0716749929252
2.07,1212.1707344395352
2.08,1220.248224852065
2.09,1228.3045580458263
2.1,1236.3401360544153
2.11,1244.3553514071946
2.12,1252.3505873976433
2.13,1260.326218342914
2.14,1268.2826098349115
2.15,1276.2201189832265
2.16,1284.139094650198
2.17,1292.0398776784311
2.18,1299.9228011110094
2.19,1307.7881904046953
2.2,1315.6363636363556
2.21,1323.4676317028639
2.22,1331.2822985146981
2.23,1339.0806611836065
2.24,1346.863010204071
2.25,1354.6296296296202
2.26,1362.3807972433137
2.27,1370.116784723156
2.28,1377.8378578023908
2.29,1385.5442764249244
2.3,1393.2362948960194
2.31,1400.9141620284374
2.32,1408.5781212841746
2.33,1416.228410911959
2.34,1423.8652640806379
2.35,1431.488909013383
2.36,1439.09956908933
2.37,1446.6974630133943
2.38,1454.2828048866481
2.39,1461.85580434515
2.4,1469.4166666666538
2.41,1476.9655928810573
2.42,1484.5027798647504
2.43,1492.0284204643472
2.44,1499.5427035742944
2.45,1507.0458142440511
2.46,1514.5379337695676
2.47,1522.0192397842802
2.48,1529.4899063475402
2.49,1536.9501040305659
2.5,1544.3999999999853
2.51,1551.8397580992419
2.52,1559.2695389266664
2.53,1566.6894999140598
2.54,1574.0997953995754
2.55,1581.5005767012528
2.56,1588.8919921900138
2.57,1596.2741873457428
2.58,1603.6473048494527
2.59,1611.0114846230517
2.6,1618.3668639053083
2.61,1625.713577310945
2.62,1633.051756890607
2.63,1640.381532189258
2.64,1647.7030303030133
2.65,1655.0163759344787
2.66,1662.3216914466445
2.67,1669.6190969153552
2.68,1676.908710180423
2.69,1684.1906468954091
2.7,1691.4650205761134
2.71,1698.7319426478216
2.72,1705.991522496693
