Stretch Ratio (-),Stress (Pa)
1.68,874.5566126624556
1.69,883.9073981336278
1.7,893.2095421049133
1.71,902.464175877424
1.72,911.6723984457171
1.73,920.8352766688092
1.74,929.95384731987
1.75,939.0291172452935
1.76,948.0620649606035
1.77,957.0536413566405
1.78,966.0047703192395
1.79,974.9163507945257
1.8,983.7892561160594
1.81,992.6243355503185
1.82,1001.4224155231011
1.83,1010.184299643293
1.84,1018.9107696952638
1.85,1027.6025865056313
1.86,1036.2604904769694
1.87,1044.8852021797131
1.88,1053.477423050975
1.89,1062.0378361326598
1.9,1070.567106236297
1.91,1079.0658812451643
1.92,1087.5347917992665
1.93,1095.9744524687385
1.94,1104.385461749438
1.95,1112.7684034601104
1.96,1121.123845564793
1.97,1129.4523424248812
1.98,1137.75443403515
1.99,1146.0306470755786
2.0,1154.2814948249636
2.01,1162.507478054018
2.02,1170.7090850121806
2.03,1178.8867921779988
2.04,1187.0410637779735
2.05,1195.1723534188563
2.06,1203.281103312624
2.07,1211.3677450180428
2.08,1219.432700152384
2.09,1227.4763796173102
2.1,1235.4991849093628
2.11,1243.5015078181561
2.12,1251.4837313198987
2.13,1259.4462290631604
2.14,1267.3893658455754
2.15,1275.313498369493
2.16,1283.2189748063347
2.17,1291.1061353854332
2.18,1298.975312794928
2.19,1306.8268316482638
2.2,1314.6610094318098
2.21,1322.4781565265255
2.22,1330.2785762794645
2.23,1338.0625651389391
2.24,1345.830413073748
2.25,1353.582403549288
2.26,1361.3188136749552
2.27,1369.0399145208787
2.28,1376.7459715138586
2.29,1384.4372436481622
2.3,1392.11398481937
2.31,1399.7764433600344
2.32,1407.4248618918787
2.33,1415.0594782923092
2.34,1422.68052501778
2.35,1430.288229898963
2.36,1437.8828155146828
2.37,1445.4644999405473
2.38,1453.0334970390916
2.39,1460.590015604547
2.4,1468.134260377789
2.41,1475.6664318740231
2.42,1483.1867264286468
2.43,1490.695335962068
2.44,1498.1924492042485
2.45,1505.6782504939817
2.46,1513.1529205102509
2.47,1520.6166363519571
2.48,1528.0695715579734
2.49,1535.511895972984
2.5,1542.9437763385763
2.51,1550.3653759356598
2.52,1557.7768545093516
2.53,1565.1783693125924
2.54,1572.570073800602
2.55,1579.9521188997755
2.56,1587.324652397147
2.57,1594.687819098273
2.58,1602.0417612075908
2.59,1609.3866180511166
2.6,1616.7225261975761
2.61,1624.0496199473835
2.62,1631.368030513916
2.63,1638.6778870095072
2.64,1645.979316045984
2.65,1653.2724413757646
2.66,1660.5573852684233
2.67,1667.8342670566242
2.68,1675.1032038747333
2.69,1682.3643109930526
2.7,1689.6177013338472
2.71,1696.8634856741949
2.72,1704.1017727736191
2.73,1711.3326696284742
2.74,1718.5562810443892
2.75,1725.7727098632613
2.76,1732.982057276689
2.77,1740.184422523253
2.78,1747.3799030074035
2.79,1754.5685943689325
2.8,1761.7505907194707
2.81,1768.925984381638
2.82,1776.0948658869386
2.83,1783.2573243912689
2.84,1790.4134473116023
2.85,1797.5633206131115
2.86,1804.7070286897015
2.87,1811.8446545154686
2.88,1818.9762796559467
2.89,1826.1019841183693
2.9,1833.2218466238646
2.91,1840.3359445057454
2.92,1847.444353796334
2.93,1854.547149209005
2.94,1861.6444041593336
2.95,1868.7361907344155
2.96,1875.8225799119325
2.97,1882.9036417241005
2.98,1889.9794442324885
2.99,1897.0500552580563
3.0,1904.1155409070116
3.01,1911.1759664016563
3.02,1918.231395855631
3.03,1925.2818922904924
3.04,1932.327517633971
3.05,1939.3683328588295
3.06,1946.4043979408098
3.07,1953.4357718575955
3.08,1960.462512594516
3.09,1967.4846772674603
3.1,1974.502321991387
3.11,1981.5155019140175
3.12,1988.524271454758
3.13,1995.5286840345548
3.14,2002.5287922461946
3.15,2009.5246478362255
3.16,2016.5163018106641
3.17,2023.5038041371963
3.18,2030.4872044215322
3.19,2037.466550954808
3.2,2044.4418915795625
3.21,2051.4132732345797
3.22,2058.3807424558922
3.23,2065.3443445433245
3.24,2072.3041244975066
3.25,2079.2601264889013
3.26,2086.212393939785
3.27,2093.1609696475502
3.28,2100.105895786215
3.29,2107.047213847007
3.3,2113.984964641939
3.31,2120.9191885800437
3.32,2127.8499249421807
3.33,2134.7772130642747
3.34,2141.7010911875163
3.35,2148.621597353269
3.36,2155.53876863764
3.37,2162.45264186683
3.38,2169.3632531820613
3.39,2176.270638206076
3.4,2183.1748320158595
3.41,2190.0758692837353
3.42,2196.9737839042587
3.43,2203.868609618635
3.44,2210.760379359663
3.45,2217.6491257611997
3.46,2224.5348809129114
3.47,2231.4176764036806
3.48,2238.2975434484865
3.49,2245.1745129001893
3.5,2252.048614645663
3.51,2258.919878850201
3.52,2265.7883348372948
3.53,2272.654011574208
3.54,2279.5169374710504
3.55,2286.3771409887254
3.56,2293.234649709016
3.57,2300.089490965006
3.58,2306.9416916699947
3.59,2313.7912784812897
3.6,2320.638277700633
3.61,2327.482715030425
3.62,2334.324616008865
3.63,2341.1640057070827
3.64,2348.0009089104824
3.65,2354.835350060875
3.66,2361.667353169275
3.67,2368.4969420972843
3.68,2375.3241401668683
3.69,2382.148970436741
3.7,2388.97145577306
3.71,2395.7916186244406
3.72,2402.609481115634
3.73,2409.4250649761893
3.74,2416.2383919412086
3.75,2423.049483173956
3.76,2429.858359717166
3.77,2436.6650420771493
3.78,2443.4695508509676
3.79,2450.2719060681648
3.8,2457.0721275457
3.81,2463.87023498294
3.82,2470.666247624469
3.83,2477.4601844699323
3.84,2484.2520644942806
3.85,2491.0419060731565
3.86,2497.829727677528
3.87,2504.6155473306812
3.88,2511.3993828340517
3.89,2518.1812517369385
3.9,2524.961171510416
3.91,2531.73915925319
3.92,2538.5152318563964
3.93,2545.28940592548
3.94,2552.0616981159546
3.95,2558.8321246048827
3.96,2565.600701319479
3.97,2572.3674442095157
3.98,2579.1323690080644
3.99,2585.895490913496
4.0,2592.6568253000014
4.01,2599.4163871336627
4.02,2606.1741913115784
4.03,2612.9302524497207
4.04,2619.684585098137
4.05,2626.437203401597
4.06,2633.188121445214
4.07,2639.9373533292382
4.08,2646.6849126500865
4.09,2653.430812954741
4.1,2660.1750677354607
4.11,2666.917690134476
4.12,2673.6586933319163
4.13,2680.3980899372664
4.14,2687.1358930588754
4.15,2693.8721150941833
4.16,2700.6067684069526
4.17,2707.339865345014
4.18,2714.0714179232264
4.19,2720.80143825393
4.2,2727.5299380835263
4.21,2734.2569289539324
4.22,2740.9824225261095
4.23,2747.7064301257165
4.24,2754.42896307403
4.25,2761.1500323501446
4.26,2767.8696489886006
4.27,2774.587823751238
4.28,2781.3045675604985
4.29,2788.019890680846
4.3,2794.7338037029645
4.31,2801.446316971185
4.32,2808.1574405190427
4.33,2814.8671845850463
4.34,2821.575559058538
4.35,2828.2825737857265
4.36,2834.988238402977
4.37,2841.692562488161
4.38,2848.395555578072
4.39,2855.0972270372185
4.4,2861.797586042385
4.41,2868.4966418342287
4.42,2875.1944033693276
4.43,2881.8908795630964
4.44,2888.5860792307603
4.45,2895.2800111183656
4.46,2901.9726838277525
4.47,2908.664105831024
4.48,2915.354285592922
4.49,2922.043231339593
4.5,2928.730951297634
4.51,2935.417453711983
4.52,2942.1027464937206
4.53,2948.78683741801
4.54,2955.4697345636496
4.55,2962.151445531753
4.56,2968.831978004624
4.57,2975.5113395522158
4.58,2982.189537672446
4.59,2988.8665797012454
4.6,2995.542472915087
4.61,3002.2172246367822
4.62,3008.8908419071563
4.63,3015.5633318256855
4.64,3022.2347013359085
4.65,3028.9049572048243
4.66,3035.5741065165616
4.67,3042.2421557657312
