Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
