,Nu,Mu,Alpha,Cost,Lambda
53,0.355,0.1,-48.0,0.6803419198512533,0.2448275862068965
54,0.355,0.1,-47.0,0.7007694477312002,0.2448275862068965
55,0.355,0.1,-46.0,0.7253186955793879,0.2448275862068965
56,0.355,0.1,-45.0,0.7527560109885197,0.2448275862068965
57,0.355,0.1,-44.0,0.7820952450485872,0.2448275862068965
58,0.355,0.1,-43.0,0.8125530329804649,0.2448275862068965
59,0.355,0.1,-42.0,0.8435118459758283,0.2448275862068965
60,0.355,0.1,-41.0,0.8744894819748884,0.2448275862068965
61,0.355,0.1,-40.0,0.905113891640044,0.2448275862068965
62,0.355,0.1,-39.0,0.9351024249277016,0.2448275862068965
63,0.355,0.1,-38.0,0.9642447404958244,0.2448275862068965
64,0.355,0.1,-37.0,0.9923887500808756,0.2448275862068965
65,0.355,0.1,-36.0,1.0194290778311017,0.2448275862068965
66,0.355,0.1,-35.0,1.0452976034701529,0.2448275862068965
67,0.355,0.1,-34.0,1.0699557338613357,0.2448275862068965
68,0.355,0.1,-33.0,1.0933881040824034,0.2448275862068965
69,0.355,0.1,-32.0,1.1155974679495626,0.2448275862068965
70,0.355,0.1,-31.0,1.13660056828487,0.2448275862068965
71,0.355,0.1,-30.0,1.1564248432968682,0.2448275862068965
72,0.355,0.1,-29.0,1.1751057758582866,0.2448275862068965
73,0.355,0.1,-28.0,1.1926848431133477,0.2448275862068965
74,0.355,0.1,-27.0,1.2092079346560114,0.2448275862068965
75,0.355,0.1,-26.0,1.2247241469116783,0.2448275862068965
76,0.355,0.1,-25.0,1.2392849618120492,0.2448275862068965
77,0.355,0.1,-24.0,1.2529436916655732,0.2448275862068965
78,0.355,0.1,-23.0,1.26575520019112,0.2448275862068965
79,0.355,0.1,-22.0,1.277775920889591,0.2448275862068965
80,0.355,0.1,-21.0,1.2890641215572394,0.2448275862068965
81,0.355,0.1,-20.0,1.2996804823206036,0.2448275862068965
82,0.36,0.1,-60.0,1.9030785272239548,0.2571428571428571
83,0.36,0.1,-59.0,1.5639621034822755,0.2571428571428571
84,0.36,0.1,-58.0,1.3006833522415195,0.2571428571428571
85,0.36,0.1,-57.0,1.0990705925534396,0.2571428571428571
86,0.36,0.1,-56.0,0.9474523902002892,0.2571428571428571
87,0.36,0.1,-55.0,0.8362255530911358,0.2571428571428571
88,0.36,0.1,-54.0,0.7574972748380957,0.2571428571428571
89,0.36,0.1,-53.0,0.7047887073318951,0.2571428571428571
90,0.36,0.1,-52.0,0.6727894309825199,0.2571428571428571
91,0.36,0.1,-51.0,0.6571540955299223,0.2571428571428571
92,0.36,0.1,-50.0,0.6543340129656495,0.2571428571428571
93,0.36,0.1,-49.0,0.6614377049782485,0.2571428571428571
94,0.36,0.1,-48.0,0.6761154519731852,0.2571428571428571
95,0.36,0.1,-47.0,0.6964637296572205,0.2571428571428571
96,0.36,0.1,-46.0,0.7209461272617221,0.2571428571428571
97,0.36,0.1,-45.0,0.7483279227871161,0.2571428571428571
98,0.36,0.1,-44.0,0.7776219769053475,0.2571428571428571
99,0.36,0.1,-43.0,0.8080440049363449,0.2571428571428571
100,0.36,0.1,-42.0,0.8389756202744749,0.2571428571428571
101,0.36,0.1,-41.0,0.8699338171985639,0.2571428571428571
102,0.36,0.1,-40.0,0.9005457895542394,0.2571428571428571
103,0.36,0.1,-39.0,0.9305281708243058,0.2571428571428571
104,0.36,0.1,-38.0,0.9596699378984982,0.2571428571428571
105,0.36,0.1,-37.0,0.9878183508290528,0.2571428571428571
106,0.36,0.1,-36.0,1.0148674084880986,0.2571428571428571
107,0.36,0.1,-35.0,1.0407483891909053,0.2571428571428571
108,0.36,0.1,-34.0,1.0654221203625551,0.2571428571428571
109,0.36,0.1,-33.0,1.0888726788234215,0.2571428571428571
110,0.36,0.1,-32.0,1.1111022807919655,0.2571428571428571
111,0.36,0.1,-31.0,1.1321271521460794,0.2571428571428571
112,0.36,0.1,-30.0,1.1519742348213586,0.2571428571428571
113,0.36,0.1,-29.0,1.1706785356964942,0.2571428571428571
114,0.36,0.1,-28.0,1.1882810754202688,0.2571428571428571
115,0.36,0.1,-27.0,1.2048273047998117,0.2571428571428571
116,0.36,0.1,-26.0,1.2203658958071588,0.2571428571428571
117,0.36,0.1,-25.0,1.2349479161985175,0.2571428571428571
118,0.36,0.1,-24.0,1.2486262672439772,0.2571428571428571
119,0.36,0.1,-23.0,1.2614553948842993,0.2571428571428571
120,0.36,0.1,-22.0,1.273491297535685,0.2571428571428571
121,0.36,0.1,-21.0,1.2847917753386573,0.2571428571428571
122,0.36,0.1,-20.0,1.2954169891914604,0.2571428571428571
123,0.365,0.1,-60.0,1.9012563330776155,0.2703703703703703
124,0.365,0.1,-59.0,1.5617610034193703,0.2703703703703703
125,0.365,0.1,-58.0,1.298140899896363,0.2703703703703703
126,0.365,0.1,-57.0,1.096221305960966,0.2703703703703703
127,0.365,0.1,-56.0,0.9443279933731332,0.2703703703703703
128,0.365,0.1,-55.0,0.8328551940994765,0.2703703703703703
129,0.365,0.1,-54.0,0.7539077244222508,0.2703703703703703
