Alpha,BCsType,CompressionCostNoNorm,CompressionCostNormMax,CompressionCostStep,ConstitutiveModel,Lambda,Mu,NumberElements,SimpleShearCostNoNorm,SimpleShearCostNormMax,SimpleShearCostStep,TensileCostNoNorm,TensileCostNormMax,TensileCostStep,TotalCostNoNorm,TotalCostNormMax,TotalCostStep
-18.0,Fixed,0.2255745589762317,0.17454595779512344,34.55877766232984,Ogden,4.1,2.1,20.0,0.012739290551604755,0.04410189607528996,2134.913297835344,0.011910310542719401,0.06830039021881694,12918.989978871574,0.08340805335685196,0.09564941469641013,5029.487351456416
-11.0,Fixed,0.33433497651198746,0.2587030158212296,116.25767998377744,Ogden,4.3,2.5,20.0,0.02181883493953251,0.07553418984277381,8866.584471083746,0.0312502409886967,0.17920638142090947,54748.202761989065,0.1291346841467389,0.17114786236163762,21243.68163768553
-18.0,Fixed,0.014202375900183606,0.010989569549485986,13.551059412849746,Ogden,4.3,1.4,20.0,0.06485537294490869,0.22452152307494339,522.7251756806398,0.01650962514323987,0.09467543567442653,3920.7120544370587,0.03185579132944406,0.11006217609961864,1485.6627631768495
-27.0,Fixed,0.11343603116869214,0.08777497249103838,8.86733593841029,Ogden,3.5,1.4,20.0,0.010310532805236645,0.035693828036611856,320.1241607262517,0.024540217750895144,0.14072735067898426,2002.3024470240837,0.049428927241607974,0.08806538373554483,777.0979812295818
-20.0,Fixed,0.09633916055977682,0.07454568959106889,21.810542477712286,Ogden,3.7,1.8,20.0,0.017776962830948827,0.06154171334180287,1202.0056593207794,0.014319194674172189,0.08211428076180659,7317.193868151792,0.04281177268829928,0.07273389456489278,2847.0033566500947
-27.0,Fixed,0.5616491745439782,0.43459507827719507,14.639449990751062,Ogden,3.8,1.8,20.0,0.005214008381490249,0.018050271704275363,666.2973092068596,0.011843333125060225,0.06791630419976963,3854.342087262413,0.1929021720168429,0.17352055139374667,1511.7596154866744
-13.0,Fixed,0.6007651809635141,0.46486241355030744,7.435637141191671,Ogden,3.4,0.7,20.0,0.22631499669640512,0.7834753767608481,117.71805667702489,0.07382489302973,0.4233532772892512,1289.4040876816634,0.300301690229883,0.5572303558668023,471.51926049995996
-29.0,Fixed,0.3084653577756121,0.23868552182443947,9.601271799105787,Ogden,3.4,1.5,20.0,0.0010735335697943512,0.0037164444704843895,365.9944568939668,0.022477229273474283,0.12889701951176716,2156.9111395528403,0.11067204020629358,0.12376632860223034,844.1689560819709
-15.0,Fixed,0.2535368999360934,0.19618276651674507,45.292801890133454,Ogden,5.1,2.2,20.0,0.017506712690462355,0.060606139766352415,2678.612970792201,0.01796370438730652,0.10301394031900475,17885.537878023304,0.0963357723379541,0.11993428220070075,6869.814550235213
-15.0,Fixed,0.6334526324150083,0.4901554366083015,66.0380507989302,Ogden,5.4,2.6,20.0,0.01726195685911504,0.05975882443162678,4305.900570955766,0.03562147755633929,0.2042734997162636,27356.633285211603,0.22877868894348752,0.251395920252064,10576.190635655432
-24.0,Fixed,0.5477042531157628,0.4238047228483186,17.093981347912827,Ogden,4.8,1.9,20.0,0.0045258420290038475,0.015667922323285417,743.9923680759731,0.009167990773739604,0.05257439301208662,4725.636943468434,0.18713269530616874,0.16401567939456355,1828.9077642974398
-12.0,Fixed,0.23438124253565204,0.18136042758220425,15.202256240031263,Ogden,4.2,1.1,20.0,0.1474414124998335,0.5104244875270946,503.5530044492047,0.03123600945809068,0.1791247698550048,4642.362225201771,0.13768622149785872,0.29030322832143457,1720.3724952970024
-26.0,Fixed,1.0521677961732978,0.8141504812322542,24.182155516316957,Ogden,3.8,2.2,20.0,0.03045077416444974,0.105416928216895,1364.404845675149,0.010148324294353715,0.05819617438901806,7391.306619448491,0.36425563154403373,0.3259211946127224,2926.6312068799857
-19.0,Fixed,0.7590970119628406,0.5873770322939268,54.12873755065157,Ogden,4.0,2.6,20.0,0.02198243933125346,0.07610056862594942,3911.186648003861,0.017299461555377205,0.09920479995628285,21552.05276786821,0.2661263042831571,0.2542274669587197,8505.789384474241
-21.0,Fixed,0.7382268588814458,0.571228044236693,45.49595832401602,Ogden,3.5,2.5,20.0,0.021809626452767465,0.0755023111659607,3313.449245533952,0.013950071908316203,0.07999752412005603,17517.26040727238,0.25799551908084317,0.24224262650756992,6958.735203710116
-28.0,Fixed,0.7378046201772359,0.5709013227332622,16.65518643819471,Ogden,3.4,1.9,20.0,0.014530873264225065,0.05030414056309733,844.6634492948531,0.01417302448296959,0.0812760590326847,4578.073291537431,0.25550283930814355,0.23416050744301473,1813.1306424234929
-16.0,Fixed,0.05844155086606351,0.04522113006557762,10.588299877143347,Ogden,5.3,1.2,20.0,0.10565210167537784,0.3657549052161727,285.60384648384684,0.014200927297383278,0.08143606939562384,2715.3387875385583,0.05943152661294154,0.1641373682257914,1003.8436446331829
-23.0,Fixed,1.0048670511264028,0.7775499271356234,28.03293735439296,Ogden,4.8,2.3,20.0,0.02157229460671081,0.07468069677795784,1506.9071165119178,0.01546286167875964,0.08867270779975295,8905.893302527891,0.3473007358039577,0.3136344439044447,3480.2777854647343
-18.0,Fixed,0.17273267212067556,0.13365775748226624,5.956278718863942,Ogden,4.9,0.9,20.0,0.15012065418535867,0.5196997009227675,91.53542776799104,0.031215843464476256,0.1790091267550138,990.5725354117628,0.11802305659017016,0.2774555283866825,362.68808063287264
