Stretch Ratio,P Stress
0.85,-0.6141955017301038
0.8603448275862069,-0.5642518271980351
0.8706896551724138,-0.5156562152459696
0.8810344827586206,-0.4683457249770191
0.8913793103448275,-0.4222610464509488
0.9017241379310345,-0.3773462521971763
0.9120689655172414,-0.3335485683434277
0.9224137931034483,-0.29081816361013296
0.9327586206896551,-0.24910795459432197
0.943103448275862,-0.20837342592151897
0.9534482758620689,-0.16857246398219483
0.9637931034482758,-0.12966520309262367
0.9741379310344827,-0.09161388303029193
0.9844827586206896,-0.054382716992754265
0.9948275862068965,-0.017937769117387637
1.0051724137931033,0.0177531592210475
1.0155172413793103,0.05272063504669511
1.0258620689655171,0.08699369200012622
1.0362068965517242,0.12059992172664569
1.046551724137931,0.15356555897269614
1.056896551724138,0.18591556088062566
1.0672413793103448,0.2176736809294805
1.0775862068965516,0.24886253793103402
1.0879310344827586,0.27950368045537627
1.0982758620689654,0.3096176470288299
1.1086206896551722,0.33922402241830896
1.1189655172413793,0.3683414902902035
1.129310344827586,0.39698788250825306
1.139655172413793,0.42518022531335864
1.15,0.4529347826086953
