Stretch ratio (-),Ogden Pzz (Pa),Ogden Pxx (Pa)
0.1,-52684.948272253576,8.191239012942194e-07
0.11,-66313.26218232534,2.9649124555398376e-09
0.12,-81791.94282030586,3.7294305548531893e-10
0.13,-99174.57909974399,1.5315139792434258e-09
0.13999999999999999,-118506.91365635491,1.0456729850228552e-07
0.14999999999999997,-139826.50266396077,-0.0
0.15999999999999998,-163162.27380975665,1.1913401712563123e-09
0.16999999999999998,-188533.99621739832,-2.8510374425865372e-11
0.17999999999999997,-215951.6746028344,3.15035327330694e-08
0.18999999999999995,-245414.878449925,1.3293747019198607e-10
0.19999999999999996,-276912.01587434625,8.590763843607095e-11
0.20999999999999996,-310419.5610787842,1.0308793770199972e-10
0.21999999999999995,-345901.2438900616,-1.6708569137574756e-10
0.22999999999999995,-383307.2097257171,1.9944835528360377e-07
0.23999999999999994,-422573.1584366945,1.2606908917448486e-07
0.24999999999999992,-463619.47079779644,1.8009713474116432e-07
0.2599999999999999,-506350.33187529666,1.1389724284497585e-10
0.2699999999999999,-550652.8612106417,4.572058732449217e-10
0.2799999999999999,-596396.2605427904,-1.0422070258987176e-10
0.2899999999999999,-643430.9908348285,-1.9987952432602065e-10
0.29999999999999993,-691587.9915162144,-2.8793375470881845e-10
0.30999999999999994,-740677.9562360356,6.775003589464301e-09
0.3199999999999999,-790490.6809940055,-1.0666217088384252e-10
0.32999999999999985,-840794.5023279688,4.4564571398254856e-10
0.33999999999999986,-891335.8453099414,-3.309148055481738e-11
0.34999999999999987,-941838.9034816592,5.996167545831008e-08
0.3599999999999999,-992005.4755805299,-5.259452596716017e-10
0.3699999999999999,-1041514.9870386546,-6.890965516803305e-10
0.3799999999999999,-1090024.7278118015,1.3069155781009424e-09
0.3899999999999999,-1137170.342239041,3.3814562092564834e-10
0.3999999999999998,-1182566.6113728483,1.2314351297203276e-09
0.4099999999999998,-1225808.5737045642,-5.319617557738351e-10
0.4199999999999998,-1266473.036528028,-8.279689551227949e-10
0.4299999999999998,-1304120.5374718904,1.5114022137658356e-10
0.43999999999999984,-1338297.824127361,-2.4543401600502553e-10
0.44999999999999984,-1368540.9293456431,-4.78633816668438e-10
0.45999999999999985,-1394378.9308164278,3.2693804741295103e-10
0.46999999999999986,-1415338.4960742306,-1.185834913995101e-09
0.47999999999999976,-1430949.32815504,4.457065641375846e-11
0.48999999999999977,-1440750.6426523358,3.922843041360384e-10
0.4999999999999998,-1444298.8235720953,1.1090479051166261e-09
0.5099999999999998,-1441176.422417275,3.3419035974131944e-10
0.5199999999999998,-1431002.6809047863,7.369068992913394e-10
0.5299999999999998,-1413445.7700395868,7.628541043296849e-10
0.5399999999999998,-1388236.9424867071,-6.304800020321453e-10
0.5499999999999998,-1355186.7838665305,-6.966408742088871e-10
0.5599999999999997,-1314203.709683289,-0.0
0.5699999999999997,-1265314.7689199748,5.987234436864261e-10
0.5799999999999997,-1208688.6532516298,5.157536980349418e-10
0.5899999999999997,-1144660.527980596,-9.074676487893666e-10
0.5999999999999998,-1073757.8338786107,-1.4319094110830128e-10
0.6099999999999998,-996725.4744662179,5.653918622737523e-10
0.6199999999999998,-914547.705068309,2.7933703827061746e-10
0.6299999999999997,-828462.5024876476,-5.871646075852208e-10
0.6399999999999997,-739962.2427348546,-3.59142854664915e-10
0.6499999999999997,-650772.4380933869,-2.8826443394407836e-10
0.6599999999999997,-562798.893466695,5.218642270602997e-10
0.6699999999999997,-478034.52708594885,-1.6735472785259288e-10
0.6799999999999997,-398422.5654609221,-1.6660589139813868e-11
0.6899999999999997,-325684.82270880305,-2.2423151467139137e-10
0.6999999999999996,-261141.35707125164,5.8038650484382165e-11
0.7099999999999996,-205564.1290595359,1.823545673180947e-10
0.7199999999999996,-159110.26512102885,5.392937313138198e-11
0.7299999999999996,-121360.97551769199,4.157020738995553e-12
0.7399999999999997,-91455.3492677709,2.9187102893175226e-11
0.7499999999999997,-68274.78092545275,3.348340168815133e-11
0.7599999999999997,-50623.589245303236,1.1770873289144504e-10
0.7699999999999997,-37366.511702215204,7.920702873302032e-11
0.7799999999999997,-27509.56167709745,5.732644559719996e-11
0.7899999999999996,-20231.281664972765,4.58978246728369e-11
0.7999999999999996,-14880.39269921966,-1.0733854625592634e-11
0.8099999999999996,-10955.61206697713,2.320972748528366e-11
0.8199999999999996,-8079.060706423202,-1.4386256523688298e-11
0.8299999999999996,-5969.930642937246,1.0647486297399961e-11
0.8399999999999996,-4421.520906545299,-3.0068169068744314e-11
0.8499999999999996,-3282.584779283906,-3.03800355960998e-11
0.8599999999999995,-2442.8262224765667,-4.777643964837592e-11
0.8699999999999996,-1821.9334939299365,-4.448747707959451e-11
0.8799999999999996,-1361.436450294122,2.7040376349873377e-11
0.8899999999999996,-1018.7308095264527,3.033526015205258e-11
0.8999999999999996,-762.7246838107153,4.218725804001522e-11
0.9099999999999996,-570.6805382118695,5.04538552856387e-11
0.9199999999999996,-425.9292492874903,1.0088404853050877e-11
0.9299999999999996,-316.21649444650416,5.6363590653556175e-11
0.9399999999999996,-232.50603913987285,-1.7055776874410106e-12
0.9499999999999995,-168.11263603966415,3.7493393410224933e-11
0.9599999999999995,-118.07264627229569,-3.3046293817066776e-11
0.9699999999999995,-78.68622437219274,4.517043859299839e-11
0.9799999999999995,-47.18348561077963,-2.8240482120920795e-11
0.9899999999999995,-21.480432150192595,2.454716889506413e-11
0.9999999999999996,-5.910224298992193e-13,2.9551121494960947e-13
1.0099999999999996,18.45953696268795,7.1607089926818e-11
1.0199999999999996,34.821637839227975,8.173297755313244e-11
1.0299999999999996,49.80333027199214,-6.58369962111178e-11
1.0399999999999996,63.968552507724766,6.002482873758792e-11
1.0499999999999996,77.76790713359107,6.609405960050271e-11
1.0599999999999996,91.56840490142376,6.712556556607123e-11
1.0699999999999996,105.67581628444688,7.275004647724991e-11
1.0799999999999996,120.35155092554244,7.9735226273373e-12
1.0899999999999996,135.8254774440534,4.868716375972671e-11
1.0999999999999996,152.30572554615645,1.4818187054772262e-11
1.1099999999999997,169.98624124554246,9.076112802805745e-11
1.1199999999999997,189.05266704398315,6.952269010635993e-11
1.1299999999999997,209.6869725491313,5.358997674630047e-11
1.1399999999999997,232.07115301721723,2.8831252784806713e-11
1.1499999999999995,256.39023343709493,-7.332634344861049e-11
1.1599999999999995,282.83475653089215,4.321096208187863e-11
1.1699999999999995,311.60288899357295,-3.327608800626923e-11
1.1799999999999995,342.90224745357017,8.454044828846065e-11
1.1899999999999995,376.95152107426736,2.510787945196136e-12
1.1999999999999995,413.98194931771263,2.504896489001213e-11
1.2099999999999995,454.23869954382405,5.347563662635732e-11
1.2199999999999995,497.9821786894644,8.626851107149284e-11
1.2299999999999995,545.4893053695993,7.292386329028842e-11
1.2399999999999995,597.0547627455521,-2.9712603252729523e-11
1.2499999999999996,652.9922479254933,-8.585531884903898e-11
1.2599999999999996,713.6357301460239,5.166771177043485e-11
1.2699999999999996,779.3407272643494,-3.1418136852186324e-11
1.2799999999999996,850.4856079672473,-5.004233973825624e-11
1.2899999999999996,927.4729254174623,3.6721122471445656e-11
1.2999999999999994,1010.7307867100479,4.983258019316958e-11
1.3099999999999994,1100.7142613967965,-9.422104851723575e-12
1.3199999999999994,1197.9068313979296,-1.0695888774600052e-10
1.3299999999999994,1302.8218838059622,2.580450853165314e-11
1.3399999999999994,1416.0042473505116,2.9019096730284503e-11
1.3499999999999994,1538.031772612657,1.0346360492639113e-10
1.3599999999999994,1669.5169554146562,-3.0716508747098626e-11
1.3699999999999994,1811.1086021649464,5.079638409591638e-12
1.3799999999999994,1963.493535270306,-1.0283795615982424e-10
1.3899999999999995,2127.3983360487377,-1.764198978262178e-11
1.3999999999999995,2303.5911218513934,-1.1507956349028294e-11
1.4099999999999995,2492.8833533475413,4.814805663088004e-11
1.4199999999999995,2696.131667111131,-4.2254193983332944e-11
1.4299999999999995,2914.2397277877,-3.721210414008584e-11
1.4399999999999995,3148.160093193967,2.3337326162894967e-11
1.4499999999999995,3398.89608472162,7.385261803554649e-11
1.4599999999999995,3667.503654369406,-3.361682715622765e-11
1.4699999999999993,3955.093238622656,-1.1388134558156052e-10
1.4799999999999993,4262.831588232802,7.059293656840808e-11
1.4899999999999993,4591.943561732476,4.819005231257496e-11
1.4999999999999993,4943.713869257605,-9.522875066754645e-12
1.5099999999999993,5319.488751942404,1.1501053210663358e-10
1.5199999999999994,5720.677580829768,-3.759924941591849e-11
1.5299999999999994,6148.754357904681,-1.8489358491223895e-11
1.5399999999999994,6605.259100528694,2.299870446011139e-11
1.5499999999999994,7091.799089267119,-4.986125709017132e-11
1.5599999999999994,7610.049957863997,-7.98740516767163e-11
1.5699999999999994,8161.756602978389,-9.658991870189721e-11
1.5799999999999994,8748.733890278554,1.1190126539063167e-10
1.5899999999999994,9372.867132634072,7.833845992136882e-11
1.5999999999999994,10036.112315498503,-1.1332143217012406e-11
1.6099999999999994,10740.496044172363,6.819120489588387e-11
1.6199999999999992,11488.115187535746,1.0182196231534124e-10
1.6299999999999992,12281.136193087037,-2.2860949357274013e-11
1.6399999999999992,13121.794048761009,-1.0698495028542334e-11
1.6499999999999992,14012.39086808995,1.2567393410127948e-10
1.6599999999999993,14955.294076846792,7.684097732428459e-12
1.6699999999999993,15952.934181421197,1.5409868643139437e-11
1.6799999999999993,17007.802101848807,1.1279299426060844e-10
1.6899999999999993,18122.44605568703,1.285824418601247e-10
1.6999999999999993,19299.46798279224,-9.629932964305486e-11
1.7099999999999993,20541.519505529515,-9.654607998130863e-11
1.7199999999999993,21851.297423991633,1.623568991723159e-10
1.7299999999999993,23231.53875141306,2.8170017870072817e-11
1.7399999999999993,24685.01530103961,-2.823883420919853e-11
