Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.5,-2.31,-2.309999999999937
0.51,-2.200885582468281,-2.200885582467701
0.52,-2.0976284023668637,-2.097628402366906
0.53,-1.999790601637593,-1.9997906016376041
0.54,-1.9069744855967075,-1.9069744855967874
0.55,-1.8188181818181814,-1.818818181818182
0.56,-1.7349918367346937,-1.7349918367346917
0.5700000000000001,-1.6551942751615882,-1.6551942751615836
0.58,-1.5791500594530323,-1.5791500594530268
0.59,-1.506606894570526,-1.5066068945705209
0.6,-1.4373333333333336,-1.4373333333339202
0.61,-1.3711167428110724,-1.3711167428110678
0.62,-1.3077614984391261,-1.3077614984460781
0.63,-1.2470873771730915,-1.2470873771730864
0.64,-1.188928125,-1.1889281249999955
0.65,-1.1331301775147926,-1.1331301775147864
0.66,-1.0795515151515152,-1.0795515151515114
0.67,-1.0280606371129426,-1.0280606371129386
0.6799999999999999,-0.9785356401384087,-0.9785356401384111
0.69,-0.9308633900441087,-0.9308633900441037
0.7,-0.8849387755102042,-0.8849387755102018
0.71,-0.8406640349137079,-0.8406640349137042
0.72,-0.7979481481481481,-0.7979481481481447
0.73,-0.7567062863576656,-0.7567062863576621
0.74,-0.7168593133674215,-0.716859313367418
0.75,-0.6783333333333333,-0.6783333333337053
0.76,-0.6410592797783936,-0.6410592797783902
0.77,-0.6049725417439704,-0.6049725417439672
0.78,-0.5700126232741616,-0.5700126232742515
0.79,-0.5361228328793459,-0.5361228328793435
0.8,-0.50325,-0.5032499999999975
0.81,-0.47134421582075886,-0.4713442158207564
0.8200000000000001,-0.4403585960737656,-0.44035859607376315
0.8300000000000001,-0.4102490637247785,-0.41024906372477626
0.8400000000000001,-0.3809741496598638,-0.38097414965997145
0.8500000000000001,-0.35249480968858105,-0.35249480968857927
0.86,-0.32477425635478646,-0.32477425635478435
0.87,-0.2977778042013475,-0.29777780420134586
0.88,-0.2714727272727274,-0.2714727272727267
0.89,-0.24582812776164623,-0.24582812776164456
0.9,-0.2208148148148148,-0.22081481481481324
0.91,-0.19640519260958808,-0.19640519260958667
0.9199999999999999,-0.17257315689981131,-0.1725731568998122
0.9299999999999999,-0.1492939993062784,-0.14929399930627682
0.94,-0.12654431869624264,-0.12654431869624494
0.95,-0.10430193905817166,-0.10430193905817058
0.96,-0.08254583333333343,-0.08254583333333221
0.97,-0.061256052715485274,-0.06125605271552893
0.98,-0.04041366097459402,-0.04041366097459305
0.99,-0.020000673400673425,-0.020000673401194352
1.0,0.0,8.141635513917816e-16
1.01,0.01960460739143222,0.01960460739142901
1.02,0.03882860438292966,0.038828604382930294
1.03,0.05768669997172206,0.05768669997171157
1.04,0.0761928994082842,0.07619289940828446
1.05,0.0943605442176871,0.09436054421767674
1.06,0.11220234959060177,0.112202349590602
1.07,0.1297304393396803,0.12973043933968062
1.08,0.14695637860082314,0.1469563786008233
1.0899999999999999,0.16389120444407015,0.16389120444403565
1.1,0.18054545454545473,0.18054545454545462
1.1099999999999999,0.19692919405892356,0.196929194058816
1.12,0.21305204081632667,0.21305204081632653
1.13,0.22892318897329458,0.22892318897329422
1.1400000000000001,0.24455143120960315,0.24455143120960282
1.15,0.25994517958412083,0.2599451795841207
1.1600000000000001,0.27511248513674214,0.27511248513674125
1.17,0.2900610563225946,0.2900610563225945
1.1800000000000002,0.3047982763573688,0.30479827635736806
1.19,0.3193312195466421,0.3193312195466418
1.2000000000000002,0.333666666666667,0.3336666666666663
1.21,0.3478111194590533,0.3478111194589495
1.22,0.3617708142972319,0.3617708142972314
1.23,0.37555173507832634,0.3755517350783257
1.24,0.3891596253902186,0.38915962539021787
1.25,0.4026,0.4025999999999788
1.26,0.41587815570672715,0.4158781557067261
1.27,0.42899918159836314,0.42899918159836226
1.28,0.44196796875000005,0.44196796874999905
1.29,0.45478921939787287,0.45478921939787187
1.3,0.4674674556213019,0.4674674556213011
1.31,0.48000702756249647,0.48000702756249525
1.32,0.4924121212121213,0.49241212121212014
1.33,0.5046867657866472,0.504686765786646
1.3399999999999999,0.5168348407217642,0.516834840721763
1.35,0.5288600823045269,0.5288600823044848
1.3599999999999999,0.5407660899653978,0.5407660899653964
1.37,0.5525563322499867,0.5525563322499815
1.38,0.5642341524889728,0.5642341524889714
1.3900000000000001,0.5758027741835312,0.5758027741835294
1.4,0.5872653061224489,0.5872653061224474
1.4100000000000001,0.5986247472461145,0.5986247472461121
1.42,0.6098839912715731,0.6098839912715714
1.4300000000000002,0.6210458310919852,0.6210458310919832
1.44,0.632112962962963,0.6321129629629613
1.4500000000000002,0.643087990487515,0.6430879904875093
1.46,0.6539734284105835,0.6539734284105815
1.47,0.6647717062335138,0.6647717062335112
1.48,0.6754851716581447,0.6754851716581428
1.49,0.6861160938696454,0.6861160938696432
1.5,0.6966666666666668,0.6966666666666603
