Stretch Ratio (-),Analytical Stress (kPa),FE Stress (kPa)
0.9,-0.4593695090439258,-0.45936950904389656
0.91,-0.36085543252782076,-0.36085543252552604
0.92,-0.28737812911725785,-0.2873781291172277
0.93,-0.22983852253555248,-0.22983852253552797
0.9400000000000001,-0.18297440328329181,-0.18297440328327405
0.9500000000000001,-0.14351375707027117,-0.14351375707025232
0.9600000000000001,-0.10929692125518017,-0.1092969212550303
0.9700000000000001,-0.07882106556223269,-0.0788210655622173
0.9800000000000001,-0.05098610908460364,-0.050986109084590385
0.9900000000000001,-0.024943489469414024,-0.024943489469406697
1.0,0.0,2.178812685826869e-15
1.01,0.0244483155131749,0.024448315522350536
1.02,0.04896649554438151,0.048966495544382226
1.03,0.07412447895335281,0.07412447895335496
1.04,0.10054172951231756,0.10054172962599837
1.05,0.12894022289766965,0.12894022289766446
1.06,0.16021586722283743,0.16021586722283346
1.07,0.19554443620118114,0.19554443668707905
1.08,0.2365507926352454,0.23655079263523818
1.09,0.28559736471132585,0.28559736471149455
1.1,0.34630940988835796,0.3463094098883292
