Stretch Ratio (-),Analytical Stress (Pa)
0.1,-1.083846195785569e+27
0.11,-9.721487522744395e+25
0.12,-1.0756776189919386e+25
0.13,-1.41971393216833e+24
0.13999999999999999,-2.1773505477545585e+23
0.14999999999999997,-3.800658103912792e+22
0.15999999999999998,-7.425609324231044e+21
0.16999999999999998,-1.6018061130057927e+21
0.17999999999999997,-3.772013848197472e+20
0.18999999999999995,-9.605092541876706e+19
0.19999999999999996,-2.6236673289788436e+19
0.20999999999999996,-7.635183881772371e+18
0.21999999999999995,-2.3532812406112e+18
0.22999999999999995,-7.642816039526979e+17
0.23999999999999994,-2.6038936487822992e+17
0.24999999999999992,-9.27012175376439e+16
0.2599999999999999,-3.4367026196243492e+16
0.2699999999999999,-1.3227093526708522e+16
0.2799999999999999,-5270714164141440.0
0.2899999999999999,-2169193581735825.0
0.29999999999999993,-920025602768035.6
0.30999999999999994,-401344026652986.7
0.3199999999999999,-179751782656070.25
0.32999999999999985,-82521094346161.27
0.33999999999999986,-38774933033795.08
0.34999999999999987,-18622849585849.914
0.3599999999999999,-9130916855595.438
0.3699999999999999,-4565244466213.664
0.3799999999999999,-2325105498541.2188
0.3899999999999999,-1205127785916.7405
0.3999999999999998,-635111354352.4249
0.4099999999999998,-340044756654.9512
0.4199999999999998,-184824955600.20288
0.4299999999999998,-101909748883.72055
0.43999999999999984,-56965897291.49437
0.44999999999999984,-32261983079.918182
0.45999999999999985,-18500970730.222775
0.46999999999999986,-10737220004.120779
0.47999999999999976,-6303247380.480542
0.48999999999999977,-3741164743.1123514
0.4999999999999998,-2244019093.7903504
0.5099999999999998,-1359697197.1980157
0.5199999999999998,-831922870.3467294
0.5299999999999998,-513792968.76437163
0.5399999999999998,-320188355.80364126
0.5499999999999998,-201275823.99276844
0.5599999999999997,-127588218.67390396
0.5699999999999997,-81533072.48461382
0.5799999999999997,-52509685.77648663
0.5899999999999997,-34073108.88756973
0.5999999999999998,-22271066.738142338
0.6099999999999998,-14659623.796291025
0.6199999999999998,-9715337.711086616
0.6299999999999997,-6481144.96274632
0.6399999999999997,-4351252.425710313
0.6499999999999997,-2939406.6251824223
0.6599999999999997,-1997588.2442511092
0.6699999999999997,-1365447.323723614
0.6799999999999997,-938624.368521139
0.6899999999999997,-648761.518146904
0.6999999999999996,-450802.4465954029
0.7099999999999996,-314868.9167687616
0.7199999999999996,-221030.78145020286
0.7299999999999996,-155917.466231683
0.7399999999999997,-110509.01638099452
0.7499999999999997,-78687.46716676706
0.7599999999999997,-56281.29982389574
0.7699999999999997,-40431.57502743365
0.7799999999999997,-29169.134994498785
0.7899999999999996,-21131.077776039692
0.7999999999999996,-15369.632954221226
0.8099999999999996,-11222.669083084791
0.8199999999999996,-8225.523255023149
0.8299999999999996,-6050.67623513672
0.8399999999999996,-4466.284472264866
0.8499999999999996,-3307.543413507828
0.8599999999999995,-2456.823011032171
0.8699999999999996,-1829.827891220035
0.8799999999999996,-1365.9137300182244
0.8899999999999996,-1021.283383186532
0.8999999999999996,-764.1868603378907
0.9099999999999996,-571.5214646180339
0.9199999999999996,-426.414270279864
0.9299999999999996,-316.4965400880689
0.9399999999999996,-232.6674288974596
0.9499999999999995,-168.2049890538903
0.9599999999999995,-118.12461241852981
0.9699999999999995,-78.71440089449094
0.9799999999999995,-47.197498803519856
0.9899999999999995,-21.485848244070855
0.9999999999999996,-8.805028037274037e-13
1.0099999999999996,18.46319052364151
1.0199999999999996,34.82804243051465
1.0299999999999996,49.81212207908605
1.0399999999999996,63.979724249845354
1.0499999999999996,77.78170858081762
1.0599999999999996,91.58529361625287
1.0699999999999996,105.69643996028296
1.0799999999999996,120.37675076888057
1.0899999999999996,135.8563068163514
1.0999999999999996,152.34348094929092
1.1099999999999997,170.03250450636403
1.1199999999999997,189.10935870511375
1.1299999999999997,209.75641726927432
1.1399999999999997,232.15615839689792
1.1499999999999995,256.4941842039219
1.1599999999999995,282.96172650797575
1.1699999999999995,311.75777377432144
1.1799999999999995,343.0909212368449
1.1899999999999995,377.18102170836596
1.1999999999999995,414.26069625989834
1.2099999999999995,454.57675019778264
1.2199999999999995,498.3915294346455
1.2299999999999995,545.9842445719048
1.2399999999999995,597.6522841477785
1.2499999999999996,653.7125340792928
1.2599999999999996,714.5027169845584
1.2699999999999996,780.3827625472574
1.2799999999999996,851.7362181800619
1.2899999999999996,928.9717078082923
1.2999999999999994,1012.524445517199
1.3099999999999994,1102.8578100010466
1.3199999999999994,1200.4649851555967
1.3299999999999994,1305.8706717191935
1.3399999999999994,1419.6328745544297
1.3499999999999994,1542.3447699444384
1.3599999999999994,1674.6366571337576
1.3699999999999994,1817.177998257141
1.3799999999999994,1970.6795507581683
1.3899999999999995,2135.895596393451
1.3999999999999995,2313.6262709403
1.4099999999999995,2504.7199987702456
1.4199999999999995,2710.0760365134456
1.4299999999999995,2930.6471301164274
1.4399999999999995,3167.4422896851793
1.4499999999999995,3421.5296866053304
1.4599999999999995,3694.0396775395475
1.4699999999999993,3986.167960018027
1.4799999999999993,4299.178864460346
1.4899999999999993,4634.408787594838
1.4999999999999993,4993.269772375296
1.5099999999999993,5377.253239632696
1.5199999999999994,5787.9338768424905
1.5299999999999994,6226.973689534966
1.5399999999999994,6696.126221027142
1.5499999999999994,7197.240946309805
1.5599999999999994,7732.267846082082
1.5699999999999994,8303.262167088697
1.5799999999999994,8912.389375081451
1.5899999999999994,9561.930306896717
1.5999999999999994,10254.286528314642
1.6099999999999994,10991.98590454337
1.6199999999999992,11777.688390353049
1.6299999999999992,12614.192047069646
1.6399999999999992,13504.439293827216
1.6499999999999992,14451.523400670738
1.6599999999999993,15458.695231297539
1.6699999999999993,16529.370243426485
1.6799999999999993,17667.13575498835
1.6899999999999993,18875.758484539387
1.6999999999999993,20159.19237451257
1.7099999999999993,21521.586706137838
1.7199999999999993,22967.2945150831
1.7299999999999993,24500.881317093048
1.7399999999999993,26127.134153131683
1.7499999999999993,27851.070963768223
1.7599999999999993,29677.95030278359
1.7699999999999994,31613.281400217078
1.7799999999999994,33662.834585319186
1.7899999999999991,35832.65208012805
1.7999999999999992,38129.059174642425
1.8099999999999992,40558.67579482396
1.8199999999999992,43128.42847492773
1.8299999999999992,45845.5627459281
1.8399999999999992,48717.65595208277
1.8499999999999992,51752.630507956026
1.8599999999999992,54958.76760850739
1.8699999999999992,58344.7214051401
1.8799999999999992,61919.53366089864
1.8899999999999992,65692.64889830332
1.8999999999999992,69673.93005361417
1.9099999999999993,73873.67465162657
1.9199999999999993,78302.63151541469
1.9299999999999993,82972.01802575984
1.939999999999999,87893.53794532553
1.949999999999999,93079.39982297293
1.959999999999999,98542.33599394432
1.969999999999999,104295.62219198777
1.979999999999999,110353.09778984016
1.989999999999999,116729.18668484052
1.9999999999999991,123438.91884680501
2.009999999999999,130497.95254565771
2.019999999999999,137922.59727668494
2.029999999999999,145729.83740165152
2.039999999999999,153937.35652441086
2.049999999999999,162563.5626200124
2.059999999999999,171627.61393672563
2.069999999999999,181149.4456907772
2.079999999999999,191149.7975740305
2.089999999999999,201650.24209522238
2.099999999999999,212673.213775821
2.109999999999999,224242.03922196574
2.119999999999999,236380.96809441084
2.129999999999999,249115.2049988066
2.1399999999999992,262470.94231912616
2.149999999999999,276475.3940174676
2.1599999999999993,291156.8304239553
2.169999999999999,306544.61404089275
2.1799999999999993,322669.23638583324
2.189999999999999,339562.355898672
2.199999999999999,357256.8369383948
2.209999999999999,375786.78989557293
2.219999999999999,395187.61244722013
2.229999999999999,415496.03198113886
2.239999999999999,436750.1492173706
2.249999999999999,458989.4830549326
2.259999999999999,482255.01667250594
2.269999999999999,506589.24491233117
2.279999999999999,532036.2229770558
2.289999999999999,558641.6164698978
2.299999999999999,586452.7528089784
2.309999999999999,615518.6740473281
2.319999999999999,645890.1911305593
2.329999999999999,677619.9396248807
2.339999999999999,710762.4369486197
2.3499999999999988,745374.141141126
2.359999999999999,781513.5112034507
2.3699999999999988,819241.0690458602
2.379999999999999,858619.4630778866
2.389999999999999,899713.533477183
2.399999999999999,942590.3791741956
2.409999999999999,987319.4265902042
2.419999999999999,1033972.5001670656
2.429999999999999,1082623.8947275372
2.439999999999999,1133350.4497058685
2.449999999999999,1186231.6252889049
2.459999999999999,1241349.5805087765
2.469999999999999,1298789.2533288153
2.479999999999999,1358638.4427652052
2.489999999999999,1420987.8930874376
2.4999999999999987,1485931.3801415437
2.509999999999999,1553565.7998406638
2.5199999999999987,1623991.2588683662
2.529999999999999,1697311.167640899
2.5399999999999987,1773632.3355752057
2.549999999999999,1853065.068710516
2.5599999999999987,1935723.2697318965
2.569999999999999,2021724.5404451634
2.5799999999999987,2111190.2867531558
2.589999999999999,2204245.826184415
2.5999999999999988,2301020.4980259105
2.609999999999999,2401647.7761125444
2.6199999999999988,2506265.384326762
2.629999999999999,2615015.414862721
2.639999999999999,2728044.44931008
2.649999999999999,2845503.6826136336
2.659999999999999,2967549.049965602
2.6699999999999986,3094341.356688633
2.679999999999999,3226046.411168171
2.6899999999999986,3362835.1608939716
2.699999999999999,3504883.8316714945
2.7099999999999986,3652374.0700646355
2.719999999999999,3805493.089132565
2.7299999999999986,3964433.817524028
2.739999999999999,4129395.0519938366
2.7499999999999987,4300581.613406884
2.759999999999999,4478204.506296426
2.7699999999999987,4662481.08204397
2.779999999999999,4853635.205749593
2.7899999999999987,5051897.426862064
2.799999999999999,5257505.153639732
2.8099999999999987,5470702.831513639
2.819999999999999,5691742.125426
2.8299999999999987,5920882.106217659
2.8399999999999985,6158389.44113984
2.8499999999999988,6404538.588566114
2.8599999999999985,6659611.996981936
2.8699999999999988,6923900.308330264
