Nu Mu Lambda TotalCost
0.490 1.150 56.350 205.648
0.490 1.150 56.350 205.649
0.490 1.150 56.350 205.648
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.001 0.004 1.677
0.400 0.005 0.020 1.654
0.400 0.005 0.020 1.654
0.400 0.005 0.020 1.654
0.401 0.021 0.084 1.568
0.401 0.021 0.084 1.568
0.401 0.021 0.084 1.568
0.403 0.084 0.348 1.250
0.403 0.084 0.348 1.250
0.403 0.084 0.348 1.250
0.465 0.567 7.507 3.947
0.465 0.567 7.507 3.947
0.465 0.567 7.507 3.947
0.427 0.270 1.569 0.583
0.427 0.270 1.569 0.583
0.427 0.270 1.569 0.583
0.462 0.375 4.527 1.152
0.462 0.375 4.527 1.152
0.462 0.375 4.527 1.152
0.436 0.298 2.029 0.546
0.436 0.298 2.029 0.546
0.436 0.298 2.029 0.546
0.435 0.306 2.050 0.543
0.435 0.306 2.050 0.543
0.435 0.306 2.050 0.543
0.414 0.396 1.914 0.507
0.414 0.396 1.914 0.507
0.414 0.396 1.914 0.507
0.400 0.436 1.746 0.487
0.400 0.436 1.746 0.487
0.400 0.436 1.746 0.487
0.400 0.428 1.713 0.486
0.400 0.428 1.713 0.486
0.400 0.428 1.713 0.486
0.400 0.425 1.698 0.486
0.400 0.425 1.698 0.486
0.400 0.425 1.698 0.486
