Stretch Ratio (-),Stress (Pa)
1.71,-71.2556266330058
1.72,-70.08179676968498
1.73,-68.94701599917296
1.74,-67.8493420104704
1.75,-66.78696105544728
1.76,-65.75817734922458
1.77,-64.76140351505136
1.78,-63.79515195095139
1.79,-62.858027016353624
1.8,-61.94871794871913
1.81,-61.06599243113552
1.82,-60.208690741690695
1.83,-59.375720423744205
1.84,-58.566051423284826
1.85,-57.77871164629197
1.86,-57.01278289355716
1.87,-56.26739713635203
1.88,-55.54173309937613
1.89,-54.83501312204368
1.9,-54.14650027129731
1.91,-53.475495683060494
1.92,-52.82133611099906
1.93,-52.18339166409051
1.94,-51.56106371584981
1.95,-50.95378297035759
1.96,-50.36100767129155
1.97,-49.78222194173562
1.98,-49.21693424367023
1.99,-48.66467594713809
2.0,-48.12499999999999
2.01,-47.597479690086615
2.02,-47.08170749227864
2.03,-46.57729399375569
2.04,-46.08386689124732
2.05,-45.60107005470074
2.06,-45.128562652224815
2.07,-44.666018331679375
2.08,-44.21312445463063
2.09,-43.769581378786334
2.1,-43.33510178534179
2.11,-42.90941004797132
2.12,-42.492241640467476
2.13,-42.083342580275634
2.14,-41.68246890539738
2.15,-41.28938618233583
2.16,-40.90386904293734
2.17,-40.5257007481649
2.18,-40.15467277697239
2.19,-39.79058443862001
2.2,-39.43324250681098
2.21,-39.08246087438396
2.22,-38.73806022698
2.23,-38.399867734649476
2.24,-38.06771676025612
2.25,-37.74144658347837
2.26,-37.420902139531115
2.27,-37.10593377177044
2.28,-36.796396997104054
2.29,-36.49215228366706
2.3,-36.19306483989443
2.31,-35.899004414262514
2.32,-35.60984510534337
2.33,-35.32546518109329
2.34,-35.04574690730795
2.35,-34.77057638445318
2.36,-34.49984339244245
2.37,-34.233441242949596
2.38,-33.97126663876375
2.39,-33.71321953992092
2.4,-33.459203036053275
2.41,-33.20912322477389
2.42,-32.96288909569902
2.43,-32.72041241980812
2.44,-32.48160764385614
2.45,-32.24639178961399
2.46,-32.014684357551474
2.47,-31.786407234794847
2.48,-31.561484607912636
2.49,-31.33984287753042
2.5,-31.121410579345692
2.51,-30.906118306580467
2.52,-30.69389863655722
2.53,-30.48468606027685
2.54,-30.278416914985293
2.55,-30.07502931957421
2.56,-29.874463112684083
2.57,-29.676659793373346
2.58,-29.48156246423321
2.59,-29.28911577682856
2.6,-29.099265879347744
2.61,-28.91196036639532
2.62,-28.72714823074303
2.63,-28.544779817052113
2.64,-28.364806777397852
2.65,-28.187182028549014
2.66,-28.011859710910745
2.67,-27.838795149060083
2.68,-27.667944813801157
2.69,-27.49926628567021
2.7,-27.332718219828728
2.71,-27.16826031228142
2.72,-27.005853267362642
2.73,-26.845458766433282
2.74,-26.687039437739397
2.75,-26.530558827379018
2.76,-26.3759813713319
2.77,-26.22327236850636
2.78,-26.07239795476073
2.79,-25.923325077856436
2.8,-25.776021473307825
2.81,-25.63045564108722
2.82,-25.486596823152485
2.83,-25.344414981763318
2.84,-25.203880778552527
2.85,-25.064965554323983
2.86,-24.927641309545713
2.87,-24.79188068551218
2.88,-24.65765694614755
2.89,-24.52494396042657
2.9,-24.39371618538578
2.91,-24.263948649705842
2.92,-24.135616937841576
2.93,-24.008697174660117
2.94,-23.883166010633097
2.95,-23.759000607448172
2.96,-23.63617862413899
2.97,-23.514678203644845
2.98,-23.394477959806274
2.99,-23.275556964777785
3.0,-23.157894736841964
3.01,-23.041471228609804
3.02,-22.9262668155931
3.03,-22.812262285136605
3.04,-22.69943882570812
3.05,-22.587778016443185
3.06,-22.477261817194886
3.07,-22.367872558666832
3.08,-22.2595929329985
3.09,-22.152405984584266
3.1,-22.046295101177762
3.11,-21.941244005263425
3.12,-21.837236745716133
3.13,-21.73425768953644
3.14,-21.632291514261972
3.15,-21.531323200030062
3.16,-21.43133802230199
3.17,-21.332321544628954
3.18,-21.23425961165699
3.19,-21.137138342338982
3.2,-21.040944123314596
3.21,-20.94566360254919
3.22,-20.851283683062523
3.23,-20.75779151690401
3.24,-20.66517449927136
3.25,-20.57342026279837
3.26,-20.482516672004337
3.27,-20.39245181789642
3.28,-20.303214012723085
3.29,-20.21479178487165
3.3,-20.127173873906912
3.31,-20.040349225745054
3.32,-19.95430698796691
3.33,-19.869036505211657
3.34,-19.784527314811438
3.35,-19.700769142389664
