Nu Mu Lambda TotalCost
0.490 1.150 56.350 0.943
0.490 1.150 56.350 0.943
0.490 1.150 56.350 0.943
0.400 0.500 2.000 0.316
0.400 0.500 2.000 0.316
0.400 0.500 2.000 0.316
0.400 0.640 2.560 0.267
0.400 0.640 2.560 0.267
0.400 0.640 2.560 0.267
0.409 0.649 2.902 0.266
0.409 0.649 2.902 0.266
0.409 0.649 2.902 0.266
0.425 0.648 3.655
