Stretch Ratio (-),Stress (Pa)
1.0,
5.0,
1.0,0.0
1.01,1717.7908955609382
1.02,3418.400087354156
1.03,5110.305535305495
1.04,6798.35937089454
1.05,8485.363987267743
1.06,10172.941974395457
1.07,11862.026447474378
1.08,13553.143206959505
1.09,15246.576254535708
1.1,16942.4664106819
1.11,18640.87087036286
1.12,20341.799478504316
1.13,22045.23692733101
1.14,23751.15632498287
1.15,25459.527420276616
1.16,27170.32149368356
1.17,28883.514160602488
1.18,30599.086867827467
1.19,32317.02757685668
1.2,34037.33094805045
1.21,35759.99822610818
1.22,37485.03695489481
1.23,39212.460603083804
1.24,40942.288152013236
1.25,42674.54367762368
1.26,44409.25594569201
1.27,46146.458031354945
1.28,47886.186968650116
1.29,49628.48343239741
1.3,51373.39145267392
1.31,53120.958160814254
1.32,54871.23356515897
1.33,56624.27035436785
1.34,58380.123725961166
1.35,60138.85123771409
1.36,61900.51267961705
1.37,63665.16996421639
1.38,65432.88703325962
1.39,67203.72977875514
1.4,68977.76597666515
1.41,70755.06523158913
1.42,72535.69893093713
1.43,74319.740207185
1.44,76107.2639068692
1.45,77898.34656512158
1.46,79693.06638456657
1.47,81491.503217437
1.48,83293.73854992496
1.49,85099.85548753587
1.5,86909.93874073988
1.51,88724.07458814616
1.52,90542.35096308251
1.53,92364.85722876411
1.54,94191.68435518534
1.55,96022.92479065941
1.56,97858.67244510747
1.57,99699.02264705532
1.58,101544.07209176214
1.59,103393.91877976694
1.6,105248.66194425401
1.61,107108.40196618474
1.62,108973.2402756655
1.63,110843.27923845313
1.64,112718.62202598348
1.65,114599.37246763086
1.66,116485.6348839154
1.67,118377.51389910979
1.68,120275.11423209716
1.69,122178.54046409106
1.7,124087.89678218483
1.71,126003.28669749924
1.72,127924.81273719849
1.73,129852.57610953756
1.74,131786.67634144702
1.75,133727.21088846552
1.76,135674.27471705843
1.77,137627.95985965777
1.78,139588.35494331358
1.79,141555.54469305015
1.8,143529.60941163157
1.81,145510.62443786353
1.82,147498.65958601702
1.83,149493.77856955622
1.84,151496.038412795
1.85,153505.48885460748
1.86,155522.1717488726
1.87,157546.1204665891
1.88,159577.3593052385
1.89,161615.90291095845
1.9,163661.755719565
1.91,165714.91142245382
1.92,167775.35246341545
1.93,169843.04957229743
1.94,171917.96134120802
1.95,174000.0338485815
1.96,176089.20033588217
1.97,178185.3809411585
1.98,180288.48249292927
1.99,182398.39836704178
2.0,184515.00840828338
2.01,186638.1789176386
2.02,188767.7627050213
2.03,190903.59920654068
2.04,193045.51466430433
2.05,195193.3223659488
2.06,197346.82294038893
2.07,199505.80470548273
2.08,201670.04406280647
2.09,203839.30593434584
2.1,206013.34423545713
2.11,208191.90237846156
2.12,210374.71380103202
2.13,212561.502513734
2.14,214751.9836611929
2.15,216945.86409170125
2.16,219142.8429304745
2.17,221342.61215216154
2.18,223544.85714879006
2.19,225749.2572898155
2.2,227955.48647156017
2.21,230163.21365383914
2.22,232372.10338219054
2.23,234581.81629464068
2.24,236792.0096124498
2.25,239002.3376147948
2.26,241212.45209773214
2.27,243422.00281823162
2.28,245630.63792436235
2.29,247838.00437304936
2.3,250043.7483370079
2.31,252247.5156027156
2.32,254448.95196134553
2.33,256647.70359476306
2.34,258843.41745865307
2.35,261035.74166492373
2.36,263224.32586545334
2.37,265408.82163919474
2.38,267588.8828845444
2.39,269764.1662187787
2.4,271934.33138611837
2.41,274099.0416759115
2.42,276257.9643520856
2.43,278410.77109488274
2.44,280557.13845559274
2.45,282696.7483247234
2.46,284829.28841379215
2.47,286954.45275058853
2.48,289071.9421874909
2.49,291181.46492206637
2.5,293282.7370289026
2.51,295375.4830012713
2.52,297459.4363009508
2.53,299534.3399141851
2.54,301599.94691149786
2.55,303656.02100879763
2.56,305702.33712692664
2.57,307738.68194661906
2.58,309764.8544555915
2.59,311780.66648433526
2.6,313785.94322706375
2.61,315780.52374413324
2.62,317764.2614422654
2.63,319737.0245288596
2.64,321698.69643674954
2.65,323649.1762158518
2.66,325588.37888832565
2.67,327516.2357640534
2.68,329432.69471349573
2.69,331337.7203953031
2.7,333231.2944363911
2.71,335113.415562583
2.72,336984.09967834485
2.73,338843.37989459105
2.74,340691.3065040157
2.75,342527.94690389355
2.76,344353.3854668275
2.77,346167.72336036834
2.78,347971.07831700763
2.79,349763.5843564839
2.8,351545.39146283927
2.81,353316.6652191221
2.82,355077.58640303614
2.83,356828.35054724006
2.84,358569.1674683582
2.85,360300.2607690727
2.86,362021.86731794867
2.87,363734.23671188246
2.88,365437.6307262563
2.89,367132.3227580797
2.9,368818.59726749023
2.91,370496.7492231289
2.92,372167.0835570081
2.93,373829.914634541
2.94,375485.56574553193
2.95,377134.36862197286
2.96,378776.66298869404
2.97,380412.796152984
2.98,382043.1226396123
2.99,383668.0038779193
3.0,385287.80794809636
3.01,386902.90939428785
3.02,388513.6891128707
3.03,390120.53432517336
3.04,391723.8386451236
3.05,393324.00225376064
3.06,394921.4321945596
3.07,396516.54280594847
3.08,398109.7563105169
3.09,399701.50358445564
3.1,401292.22513585066
3.11,402882.3723270061
3.12,404472.40888437367
3.13,406062.8127506951
3.14,407654.07834818156
3.15,409246.7193404243
3.16,410841.27200590674
3.17,412438.29936953454
3.18,414038.3962847783
3.19,415642.1957221411
3.2,417250.3766083814
3.21,418863.6736868948
3.22,420482.89005181525
3.23,422108.9132772167
3.24,423742.7364681864
3.25,425385.48618648486
3.26,427038.4601980147
3.27,428703.1796188024
3.28,430381.46280374157
3.29,432075.5332294363
3.3,433788.1827484204
3.31,435523.0296277565
3.32,437284.949069122
3.33,439080.8429316675
3.34,440921.1483421144
3.35,442823.2015474151
3.36,444820.3774867833
3.37,446997.6295483759
3.38,450082.17394019605
