Nu Mu Alpha TotalCost
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.490 0.660 -24.300 0.005
0.495 0.737 -24.301 0.018
0.495 0.737 -24.301 0.018
0.495 0.737 -24.301 0.018
0.495 0.737 -24.301 0.018
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.491 0.674 -24.300 0.005
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.494 0.668 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.300 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.299 0.004
0.495 0.665 -24.297 0.004
0.495 0.665 -24.297 0.004
0.495 0.665 -24.297 0.004
0.495 0.665 -24.297 0.004
0.495 0.664 -24.287 0.004
0.495 0.664 -24.287 0.004
0.495 0.664 -24.287 0.004
0.495 0.664 -24.287 0.004
0.495 0.663 -24.250 0.004
0.495 0.663 -24.250 0.004
0.495 0.663 -24.250 0.004
0.495 0.663 -24.250 0.004
0.495 0.664 -24.283 0.004
0.495 0.664 -24.283 0.004
0.495 0.664 -24.283 0.004
0.495 0.664 -24.283 0.004
0.495 0.664 -24.277 0.004
0.495 0.664 -24.277 0.004
0.495 0.664 -24.277 0.004
0.495 0.664 -24.277 0.004
0.495 0.664 -24.281 0.004
0.495 0.664 -24.281 0.004
0.495 0.664 -24.281 0.004
0.495 0.664 -24.281 0.004
0.495 0.665 -24.280 0.004
0.495 0.665 -24.280 0.004
0.495 0.665 -24.280 0.004
0.495 0.665 -24.280 0.004
0.495 0.704 -24.036 0.007
0.495 0.704 -24.036 0.007
0.495 0.704 -24.036 0.007
0.495 0.704 -24.036 0.007
0.495 0.666 -24.273 0.004
0.495 0.666 -24.273 0.004
0.495 0.666 -24.273 0.004
0.495 0.666 -24.273 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
0.495 0.665 -24.276 0.004
