,Stretch ratio (-),Ogden Pzz (Pa)
0,0.1,-11974341.738805464
1,0.11,-11964449.780621383
2,0.12,-11952124.799746554
3,0.13,-11937048.34667607
4,0.13999999999999999,-11918891.429047277
5,0.14999999999999997,-11897315.287888967
6,0.15999999999999998,-11871972.15490828
7,0.16999999999999998,-11842506.003279649
8,0.17999999999999997,-11808553.306054331
9,0.18999999999999995,-11769743.81063807
10,0.19999999999999996,-11725701.340495648
11,0.20999999999999996,-11676044.632269008
12,0.21999999999999995,-11620388.217948105
13,0.22999999999999995,-11558343.360340428
14,0.23999999999999994,-11489519.051894829
15,0.24999999999999992,-11413523.086388377
16,0.2599999999999999,-11329963.214345241
17,0.2699999999999999,-11238448.39384394
18,0.2799999999999999,-11138590.149878431
19,0.2899999999999999,-11030004.05689255
20,0.29999999999999993,-10912311.361156164
21,0.30999999999999994,-10785140.761953572
22,0.3199999999999999,-10648130.373485848
23,0.32999999999999985,-10500929.892558198
24,0.33999999999999986,-10343203.00141234
25,0.34999999999999987,-10174630.039678149
26,0.3599999999999999,-9994910.985257683
27,0.3699999999999999,-9803768.790817915
28,0.3799999999999999,-9600953.130774966
29,0.3899999999999999,-9386244.623493325
30,0.3999999999999998,-9159459.605178358
31,0.4099999999999998,-8920455.545988858
32,0.4199999999999998,-8669137.215640927
33,0.4299999999999998,-8405463.725654187
34,0.43999999999999984,-8129456.598842361
35,0.44999999999999984,-7841209.044025705
36,0.45999999999999985,-7540896.645395026
37,0.46999999999999986,-7228789.711174047
38,0.47999999999999976,-6905267.564025322
39,0.48999999999999977,-6570835.093219558
40,0.4999999999999998,-6226141.920280972
41,0.5099999999999998,-5872004.545043215
42,0.5199999999999998,-5509431.818895413
43,0.5299999999999998,-5139654.00383761
44,0.5399999999999998,-4764155.465077795
45,0.5499999999999998,-4384710.622288582
46,0.5599999999999997,-4003422.010856475
47,0.5699999999999997,-3622757.9725318537
48,0.5799999999999997,-3245585.323582633
49,0.5899999999999997,-2875189.01641289
50,0.5999999999999998,-2515266.097683644
51,0.6099999999999998,-2169875.422208037
52,0.6199999999999998,-1843319.06492037
53,0.6299999999999997,-1539929.9353916743
54,0.6399999999999997,-1263749.5267709806
55,0.6499999999999997,-1018108.136289042
56,0.6599999999999997,-805169.5039660762
57,0.6699999999999997,-625556.8143116902
58,0.6799999999999997,-478198.6907551838
59,0.6899999999999997,-360483.3298179104
60,0.6999999999999996,-268693.1252218384
61,0.7099999999999996,-198579.47288400872
62,0.7199999999999996,-145902.97909800248
63,0.7299999999999996,-106818.48107414636
64,0.7399999999999997,-78073.16461883273
65,0.7499999999999997,-57052.041923730874
66,0.7599999999999997,-41728.776383857235
67,0.7699999999999997,-30573.438640978515
68,0.7799999999999997,-22451.354032615844
69,0.7899999999999996,-16530.907963373556
70,0.7999999999999996,-12207.130445880477
71,0.8099999999999996,-9041.804136452763
72,0.8199999999999996,-6718.131286837034
73,0.8299999999999996,-5007.173331296629
74,0.8399999999999996,-3743.3528272603457
75,0.8499999999999996,-2806.7250453829033
76,0.8599999999999995,-2110.2126290664555
77,0.8699999999999996,-1590.4367254739454
78,0.8799999999999996,-1201.1361358158233
79,0.8899999999999996,-908.441645882388
80,0.8999999999999996,-687.4779568560583
81,0.9099999999999996,-519.9154757158387
82,0.9199999999999996,-392.20227080782155
83,0.9299999999999996,-294.2838341340793
84,0.9399999999999996,-218.67341700982598
85,0.9499999999999995,-159.77492220731787
86,0.9599999999999995,-113.38822265411427
87,0.9699999999999995,-76.34661973997652
88,0.9799999999999995,-46.25029303360679
89,0.9899999999999995,-21.269686718093826
90,0.9999999999999996,-5.956386292761087e-13
91,1.0099999999999996,18.64687079204657
92,1.0199999999999996,35.52286471915539
93,1.0299999999999996,51.30400217828976
94,1.0399999999999996,66.53563919445129
95,1.0499999999999996,81.66661471393199
96,1.0599999999999996,97.07514955061417
97,1.0699999999999996,113.08860695151286
98,1.0799999999999996,129.99867686456344
99,1.0899999999999996,148.07314391194117
100,1.0999999999999996,167.56510316083003
101,1.1099999999999997,188.72026940400463
102,1.1199999999999997,211.78286404638632
103,1.1299999999999997,237.0004438043145
104,1.1399999999999997,264.62794623441005
105,1.1499999999999995,294.9311606000116
106,1.1599999999999995,328.1897828650223
107,1.1699999999999995,364.70017638653974
108,1.1799999999999995,404.7779318795289
109,1.1899999999999995,448.7602992441849
110,1.1999999999999995,497.00854796780493
111,1.2099999999999995,549.9103008687657
