Stretch Ratio (-),Stress (Pa)
0.6,
5.0,
,27851.07096377013
,29677.950302787493
,31613.281400220756
,33662.834585323864
,35832.65208013092
,38129.05917464619
,40558.67579482846
,43128.428474932276
,45845.56274593444
,48717.6559520888
,51752.630507962305
,54958.76760851527
,58344.72140514631
,61919.53366090597
,65692.64889831397
,69673.93005362357
,73873.6746516343
,78302.63151542483
,82972.01802577203
,87893.53794534042
,93079.39982298481
,98542.33599395568
,104295.62219200819
,110353.09778985557
,116729.18668469574
,123438.91884683391
,130497.95254568802
,137922.59727670538
,145729.8374016835
,153937.3565244391
,162563.56262003913
,171627.61393676166
,181149.44569082957
,191149.79757407153
,201650.2420952633
,212673.21377585563
,224242.0392220198
,236380.96809448296
,249115.20499885012
,262470.9423191592
,276475.394017534
,291156.83042397734
,306544.6140409877
,322669.2363859471
,339562.3558987798
,357256.83693852264
,375786.78989571263
,395187.6124473692
,415496.0319813647
,436750.14921756595
,458989.4830550421
,482255.01667277183
,506589.2449126388
,532036.2229772179
,558641.6164706266
,586452.7528097709
,615518.6740476828
,645890.1911301601
,677619.9396255806
,710762.4369485944
,745374.141140889
,781513.5112033864
,819241.0690468957
,858619.4630785771
,899713.5334773537
,942590.3791743212
,987319.4265906044
,1033972.500167382
,1082623.894727819
,1133350.4497064962
,1186231.6252893545
,1241349.580509337
,1298789.2533294929
,1358638.442766094
,1420987.8930881913
,1485931.3801427437
,1553565.799841514
,1623991.2588693309
,1697311.1676419727
,1773632.3355764223
,1853065.068711795
,1935723.2697332746
,2021724.54044671
,2111190.2867548084
,2204245.8261857666
,2301020.498027222
,2401647.7761139157
,2506265.3843287113
,2615015.414863739
,2728044.449311471
,2845503.6826154278
,2967549.049967652
,3094341.356691854
,3226046.4111715024
,3362835.160896994
,3504883.8316754336
,3652374.0700683123
,3805493.089134841
,3964433.81752735
,4129395.0519979047
,4300581.613411729
,4478204.506301611
,4662481.082050594
,4853635.205754657
,5051897.426870847
,5257505.153647726
,5470702.831521048
,5691742.1254350785
,5920882.10622953
,6158389.441159619
,6404538.588574401
,6659611.996990339
,6923900.308338965
,7197702.565801735
,7481326.426095265
,7775088.37637277
,8079313.955784875
