Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
2.057 0.659 -29.937 0.010 0.022 0.008 0.013
2.057 0.659 -29.937 0.010 0.022 0.008 0.013
2.057 0.659 -29.937 0.010 0.022 0.008 0.013
2.057 0.659 -29.937 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
2.057 0.659 -29.938 0.010 0.022 0.008 0.013
