Nu Mu Alpha TotalCost
0.400 0.458 -59.367 86.155
0.400 0.458 -59.367 86.155
0.400 0.458 -59.367 86.155
0.400 0.458 -59.367 86.155
0.400 0.001 -43.587 1.665
0.400 0.001 -43.587 1.665
0.400 0.001 -43.587 1.665
0.400 0.001 -43.587 1.665
0.400 0.021 -43.521 1.346
0.400 0.021 -43.521 1.346
0.400 0.021 -43.521 1.346
0.400 0.021 -43.521 1.346
0.465 0.198 -43.131 0.696
0.465 0.198 -43.131 0.696
0.465 0.198 -43.131 0.696
0.465 0.198 -43.131 0.696
0.418 0.069 -43.415 0.696
0.418 0.069 -43.415 0.696
0.418 0.069 -43.415 0.696
0.418 0.069 -43.415 0.696
0.495 0.320 -42.868 290.567
0.495 0.320 -42.868 290.568
0.495 0.320 -42.868 290.567
0.495 0.320 -42.868 290.567
0.443 0.151 -43.237 0.069
0.443 0.151 -43.237 0.069
0.443 0.151 -43.237 0.069
0.443 0.151 -43.237 0.069
0.471 0.165 -43.129 0.592
0.471 0.165 -43.129 0.592
0.471 0.165 -43.129 0.592
0.471 0.165 -43.129 0.592
0.450 0.154 -43.211 0.056
0.450 0.154 -43.211 0.056
0.450 0.154 -43.211 0.056
0.450 0.154 -43.211 0.056
0.450 0.151 -43.204 0.055
0.450 0.151 -43.204 0.055
0.450 0.151 -43.204 0.055
0.450 0.151 -43.204 0.055
0.453 0.146 -43.179 0.053
0.453 0.146 -43.179 0.053
0.453 0.146 -43.179 0.053
0.453 0.146 -43.179 0.053
0.453 0.146 -43.169 0.053
0.453 0.146 -43.169 0.053
0.453 0.146 -43.169 0.053
0.453 0.146 -43.169 0.053
0.452 0.146 -43.158 0.053
0.452 0.146 -43.158 0.053
0.452 0.146 -43.158 0.053
0.452 0.146 -43.158 0.053
0.452 0.147 -43.115 0.053
0.452 0.147 -43.115 0.053
0.452 0.147 -43.115 0.053
0.452 0.147 -43.115 0.053
0.451 0.150 -42.943 0.053
0.451 0.150 -42.943 0.053
0.451 0.150 -42.943 0.053
0.451 0.150 -42.943 0.053
0.444 0.167 -41.768 0.049
0.444 0.167 -41.768 0.049
0.444 0.167 -41.768 0.049
0.444 0.167 -41.768 0.049
0.404 0.280 -33.397 0.038
0.404 0.280 -33.397 0.038
0.404 0.280 -33.397 0.038
0.404 0.280 -33.397 0.038
0.418 0.246 -36.147 0.035
0.418 0.246 -36.147 0.035
0.418 0.246 -36.147 0.035
0.418 0.246 -36.147 0.035
0.412 0.265 -34.965 0.032
0.412 0.265 -34.965 0.032
0.412 0.265 -34.965 0.032
0.412 0.265 -34.965 0.032
0.400 0.317 -32.086 0.028
0.400 0.317 -32.086 0.028
0.400 0.317 -32.086 0.028
0.400 0.317 -32.086 0.028
0.401 0.321 -32.094 0.027
0.401 0.321 -32.094 0.027
0.401 0.321 -32.094 0.027
0.401 0.321 -32.094 0.027
0.400 0.328 -31.734 0.027
0.400 0.328 -31.734 0.027
0.400 0.328 -31.734 0.027
0.400 0.328 -31.734 0.027
0.400 0.327 -31.806 0.027
0.400 0.327 -31.806 0.027
0.400 0.327 -31.806 0.027
0.400 0.327 -31.806 0.027
0.400 0.326 -31.869 0.027
0.400 0.326 -31.869 0.027
0.400 0.326 -31.869 0.027
0.400 0.326 -31.869 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.918 0.027
0.400 0.326 -31.918 0.027
0.400 0.326 -31.918 0.027
0.400 0.326 -31.918 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
0.400 0.326 -31.917 0.027
