Nu Mu Alpha TotalCost
0.400 0.458 -59.367 88.464
0.400 0.458 -59.367 88.464
0.400 0.458 -59.367 88.464
0.400 0.458 -59.367 88.464
0.400 0.001 -43.137 1.667
0.400 0.001 -43.137 1.667
0.400 0.001 -43.137 1.667
0.400 0.001 -43.137 1.667
0.400 0.019 -43.066 1.406
0.400 0.019 -43.066 1.406
0.400 0.019 -43.066 1.406
0.400 0.019 -43.066 1.406
0.448 0.183 -42.697 0.171
0.448 0.183 -42.697 0.171
0.448 0.183 -42.697 0.171
0.448 0.183 -42.697 0.171
0.490 0.198 -42.515 2.197
0.490 0.198 -42.515 2.197
0.490 0.198 -42.515 2.197
0.490 0.198 -42.515 2.197
0.461 0.188 -42.641 0.136
0.461 0.188 -42.641 0.136
0.461 0.188 -42.641 0.136
0.461 0.188 -42.641 0.136
0.480 0.167 -42.530 0.178
0.480 0.167 -42.530 0.178
0.480 0.167 -42.530 0.178
0.480 0.167 -42.530 0.178
0.469 0.179 -42.593 0.110
0.469 0.179 -42.593 0.110
0.469 0.179 -42.593 0.110
0.469 0.179 -42.593 0.110
0.477 0.140 -42.513 0.065
0.477 0.140 -42.513 0.065
0.477 0.140 -42.513 0.065
0.477 0.140 -42.513 0.065
0.478 0.141 -42.503 0.065
0.478 0.141 -42.503 0.065
0.478 0.141 -42.503 0.065
0.478 0.141 -42.503 0.065
0.477 0.141 -42.508 0.065
0.477 0.141 -42.508 0.065
0.477 0.141 -42.508 0.065
0.477 0.141 -42.508 0.065
0.477 0.142 -42.506 0.064
0.477 0.142 -42.506 0.064
0.477 0.142 -42.506 0.064
0.477 0.142 -42.506 0.064
0.477 0.142 -42.494 0.064
0.477 0.142 -42.494 0.064
0.477 0.142 -42.494 0.064
0.477 0.142 -42.494 0.064
0.477 0.143 -42.445 0.064
0.477 0.143 -42.445 0.064
0.477 0.143 -42.445 0.064
0.477 0.143 -42.445 0.064
0.477 0.145 -42.246 0.063
0.477 0.145 -42.246 0.063
0.477 0.145 -42.246 0.063
0.477 0.145 -42.246 0.063
0.476 0.152 -41.453 0.060
0.476 0.152 -41.453 0.060
0.476 0.152 -41.453 0.060
0.476 0.152 -41.453 0.060
0.465 0.226 -34.808 0.046
0.465 0.226 -34.808 0.046
0.465 0.226 -34.808 0.046
0.465 0.226 -34.808 0.046
0.462 0.235 -34.709 0.041
0.462 0.235 -34.709 0.041
0.462 0.235 -34.709 0.041
0.462 0.235 -34.709 0.041
0.447 0.305 -31.584 0.028
0.447 0.305 -31.584 0.028
0.447 0.305 -31.584 0.028
0.447 0.305 -31.584 0.028
0.437 0.350 -30.061 0.022
0.437 0.350 -30.061 0.022
0.437 0.350 -30.061 0.022
0.437 0.350 -30.061 0.022
0.423 0.414 -27.291 0.020
0.423 0.414 -27.291 0.020
0.423 0.414 -27.291 0.020
0.423 0.414 -27.291 0.020
0.420 0.424 -27.651 0.020
0.420 0.424 -27.651 0.020
0.420 0.424 -27.651 0.020
0.420 0.424 -27.651 0.020
0.419 0.428 -27.349 0.020
0.419 0.428 -27.349 0.020
0.419 0.428 -27.349 0.020
0.419 0.428 -27.349 0.020
0.419 0.427 -27.370 0.020
0.419 0.427 -27.370 0.020
0.419 0.427 -27.370 0.020
0.419 0.427 -27.370 0.020
0.418 0.426 -27.402 0.019
0.418 0.426 -27.402 0.019
0.418 0.426 -27.402 0.019
0.418 0.426 -27.402 0.019
0.419 0.426 -27.417 0.019
0.419 0.426 -27.417 0.019
0.419 0.426 -27.417 0.019
0.419 0.426 -27.417 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.420 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
0.419 0.426 -27.419 0.019
