Nu Mu Alpha TotalCost
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
0.411 0.516 -25.629 0.041
