Stretch Ratio (-),Stress (Pa)
1.46,3694.0396775396966
1.47,3986.1679600182215
1.48,4299.178864460549
1.49,4634.408787595091
1.5,4993.269772375512
1.51,5377.253239633058
1.52,5787.933876842794
1.53,6226.973689535274
1.54,6696.126221027435
1.55,7197.240946310267
1.56,7732.267846082404
1.57,8303.262167089151
1.58,8912.389375081537
1.59,9561.930306897313
1.6,10254.28652831505
1.61,10991.985904543559
1.62,11777.688390353545
1.63,12614.192047070715
1.64,13504.43929382799
1.65,14451.523400672064
1.66,15458.695231298609
1.67,16529.370243427853
1.68,17667.135754989507
1.69,18875.758484540384
1.7,20159.192374514445
1.71,21521.58670613948
1.72,22967.29451508494
1.73,24500.88131709528
1.74,26127.13415313305
1.75,27851.07096377013
1.76,29677.950302787493
1.77,31613.281400220756
1.78,33662.834585323864
1.79,35832.65208013092
1.8,38129.05917464619
1.81,40558.67579482846
1.82,43128.428474932276
1.83,45845.56274593444
1.84,48717.6559520888
1.85,51752.630507962305
1.86,54958.76760851527
1.87,58344.72140514631
1.88,61919.53366090597
1.89,65692.64889831397
1.9,69673.93005362357
1.91,73873.6746516343
1.92,78302.63151542483
1.93,82972.01802577203
1.94,87893.53794534042
1.95,93079.39982298481
1.96,98542.33599395568
1.97,104295.62219200819
1.98,110353.09778985557
1.99,116729.18668469574
2.0,123438.91884683391
2.01,130497.95254568802
2.02,137922.59727670538
2.03,145729.8374016835
2.04,153937.3565244391
2.05,162563.56262003913
2.06,171627.61393676166
2.07,181149.44569082957
2.08,191149.79757407153
2.09,201650.2420952633
2.1,212673.21377585563
2.11,224242.0392220198
2.12,236380.96809448296
2.13,249115.20499885012
2.14,262470.9423191592
2.15,276475.394017534
2.16,291156.83042397734
2.17,306544.6140409877
2.18,322669.2363859471
2.19,339562.3558987798
2.2,357256.83693852264
2.21,375786.78989571263
2.22,395187.6124473692
2.23,415496.0319813647
2.24,436750.14921756595
2.25,458989.4830550421
2.26,482255.01667277183
2.27,506589.2449126388
2.28,532036.2229772179
2.29,558641.6164706266
2.3,586452.7528097709
2.31,615518.6740476828
2.32,645890.1911301601
2.33,677619.9396255806
2.34,710762.4369485944
2.35,745374.141140889
2.36,781513.5112033864
2.37,819241.0690468957
