Stretch ratio (-),NeoHookean Pzz (Pa),NeoHookean Pxx (Pa)
0.6499999999999997,-1132.9320820436574,-1.4279708407067899e-11
0.6599999999999997,-1079.3625596348982,1.0462626529401391e-11
0.6699999999999997,-1027.8803955669673,-7.91193783516912e-12
0.6799999999999997,-978.3637207995347,8.39266865577359e-12
0.6899999999999997,-930.6994324862792,-2.498439875733793e-11
0.6999999999999996,-884.7824480455456,4.542942268362078e-12
0.7099999999999996,-840.5150322466052,-1.9354927526626237e-11
0.7199999999999996,-797.8061892535098,-5.306842117350236e-13
0.7299999999999996,-756.5711125604001,3.0020878746053536e-11
0.7399999999999997,-716.7306866010351,-2.5310224990832727e-11
0.7499999999999997,-678.2110345582402,9.283746849541522e-11
0.7599999999999997,-640.9431075453787,8.279722039243753e-11
0.7699999999999997,-604.8623108850843,6.924584166752469e-11
0.7799999999999997,-569.9081637104052,4.54664494639553e-11
0.7899999999999996,-536.023988532377,7.42060340672712e-11
0.7999999999999996,-503.15662779826005,1.0805680338486851e-11
0.8099999999999996,-471.25618478975133,-1.5605835366687819e-12
0.8199999999999996,-440.27578650359163,5.893302784363363e-11
0.8299999999999996,-410.17136640707497,6.289047240691337e-11
0.8399999999999996,-380.90146518722315,-5.835685833673624e-12
0.8499999999999996,-352.4270478109703,-3.7671951022057417e-11
0.8599999999999995,-324.71133538798534,6.445037583842707e-12
0.8699999999999996,-297.7196504824977,4.2831228905880567e-11
0.8799999999999996,-271.4192746585576,-2.431793616480583e-11
0.8899999999999996,-245.7793171654135,-4.5518917933079406e-11
0.8999999999999996,-220.7705937792364,4.841616879530624e-11
0.9099999999999996,-196.36551491258342,-3.261192533679687e-11
0.9199999999999996,-172.53798218889835,-4.694659158897035e-11
0.9299999999999996,-149.2632927610141,4.402792889927411e-11
0.9399999999999996,-126.51805071556306,4.068123414129997e-11
0.9499999999999995,-104.28008497001572,-2.3533802979212437e-11
0.9599999999999995,-82.5283731253179,2.1780876926143816e-11
0.9699999999999995,-61.24297078536966,-4.829455089499649e-11
0.9799999999999995,-40.404945897536614,-3.526381478894236e-11
0.9899999999999995,-19.996317713424162,4.412037866425019e-11
0.9999999999999996,-5.86197757002083e-13,2.930988785010413e-13
1.0099999999999996,19.6002518336058,-8.368673620642409e-11
1.0199999999999996,38.819889998230366,-8.907234042670633e-12
1.0299999999999996,57.67362025498088,-4.95796058646115e-11
1.0399999999999996,76.17544477055186,-9.479473947193981e-11
1.0499999999999996,94.3387021281774,-1.7779264217515295e-11
1.0599999999999996,112.1761047090838,3.064315059782639e-11
1.0699999999999996,129.6997736407191,8.869394191165268e-11
1.0799999999999996,146.92127148967418,-3.272465196399515e-11
1.0899999999999996,163.85163286594803,9.445044983547983e-11
1.0999999999999996,180.50139308668923,1.0487465920210809e-10
