Stretch Ratio (-),Analytical Stress (kPa)
0.1,-19980.44291209878
0.11,-18157.983798357716
0.12,-16638.173456999495
0.13,-15351.0763604232
0.13999999999999999,-14246.73887752314
0.14999999999999997,-13288.528542964019
0.15999999999999998,-12448.971134780964
0.16999999999999998,-11707.057038586516
0.17999999999999997,-11046.445500682408
0.18999999999999995,-10454.235966331584
0.19999999999999996,-9920.108020449468
0.20999999999999996,-9435.70706207848
0.21999999999999995,-8994.197524032608
0.22999999999999995,-8589.932644876226
0.23999999999999994,-8218.20679885083
0.24999999999999992,-7875.067266909475
0.2599999999999999,-7557.169445981827
0.2699999999999999,-7261.664233779378
0.2799999999999999,-6986.109545812741
0.2899999999999999,-6728.400139527862
0.29999999999999993,-6486.71147341785
0.30999999999999994,-6259.454432342009
0.3199999999999999,-6045.238542068653
0.32999999999999985,-5842.841871684965
0.33999999999999986,-5651.186247959797
0.34999999999999987,-5469.316718140809
0.3599999999999999,-5296.384436110233
0.3699999999999999,-5131.6323232938275
0.3799999999999999,-4974.382994277928
0.3899999999999999,-4824.028539376737
0.3999999999999998,-4680.021840217663
0.4099999999999998,-4541.869156174633
0.4199999999999998,-4409.123769736993
0.4299999999999998,-4281.380518852016
0.43999999999999984,-4158.271074458856
0.44999999999999984,-4039.4598480538534
0.45999999999999985,-3924.6404329925617
0.46999999999999986,-3813.5324998352316
0.47999999999999976,-3705.8790800500856
0.48999999999999977,-3601.444182242446
0.4999999999999998,-3500.010694499375
0.5099999999999998,-3401.378533329937
0.5199999999999998,-3305.363006283826
0.5299999999999998,-3211.793360139724
0.5399999999999998,-3120.5114900956482
0.5499999999999998,-3031.3707899884357
0.5599999999999997,-2944.235125414083
0.5699999999999997,-2858.977915487887
0.5799999999999997,-2775.481309042354
0.5899999999999997,-2693.635444837761
0.5999999999999998,-2613.3377856963425
0.6099999999999998,-2534.4925183467544
0.6199999999999998,-2457.0100110295157
0.6299999999999997,-2380.8063228279034
0.6399999999999997,-2305.8027592712097
0.6499999999999997,-2231.92546859892
0.6599999999999997,-2159.1050749846013
0.6699999999999997,-2087.2763443877348
0.6799999999999997,-2016.3778802236627
0.6899999999999997,-1946.3518449487103
0.6999999999999996,-1877.1437063056876
0.7099999999999996,-1808.7020041096514
0.7199999999999996,-1740.9781371584302
0.7299999999999996,-1673.926167296023
0.7399999999999997,-1607.50263965624
0.7499999999999997,-1541.666416855235
0.7599999999999997,-1476.378526715282
0.7699999999999997,-1411.6020216397178
0.7799999999999997,-1347.3018486839399
0.7899999999999996,-1283.4447298612472
0.7999999999999996,-1219.9990511093422
0.8099999999999996,-1156.934759465934
0.8199999999999996,-1094.2232680968132
0.8299999999999996,-1031.837367776872
0.8399999999999996,-969.7511450190445
0.8499999999999996,-907.9399057943127
0.8599999999999995,-846.3801047284976
0.8699999999999996,-785.0492788022561
0.8799999999999996,-723.9259863164148
0.8899999999999996,-662.9897491102566
0.8999999999999996,-602.2209991722519
0.9099999999999996,-541.6010287143491
0.9199999999999996,-481.111943286527
0.9299999999999996,-420.7366181232248
0.9399999999999996,-360.4586571722354
0.9499999999999995,-300.2623547577685
0.9599999999999995,-240.1326597075705
0.9699999999999995,-180.0551414069071
0.9799999999999995,-120.01595829519908
0.9899999999999995,-60.00182817507406
0.9999999999999996,-1.7763568394002497e-12
1.0099999999999996,60.00177218699441
1.0199999999999996,120.0152540389198
1.0299999999999996,180.05175444037013
1.0399999999999996,240.12214712503572
1.0499999999999996,300.23689172278523
1.0599999999999996,360.40605300373113
1.0699999999999996,420.63931961385805
1.0799999999999996,480.94602123935306
1.0899999999999996,541.3351452204829
1.0999999999999996,601.8153520783944
1.1099999999999997,662.3949902146355
1.1199999999999997,723.0821098628458
1.1299999999999997,783.8844763696025
1.1399999999999997,844.8095823906265
1.1499999999999995,905.8646600963112
1.1599999999999995,967.0566922582236
1.1699999999999995,1028.3924229515062
1.1799999999999995,1089.8783674519311
1.1899999999999995,1151.5208221925743
1.1999999999999995,1213.32587364536
1.2099999999999995,1275.2994070341383
1.2199999999999995,1337.4471146745993
1.2299999999999995,1399.774503735116
1.2399999999999995,1462.28690361135
1.2499999999999996,1524.9894733728117
1.2599999999999996,1587.8872080512615
1.2699999999999996,1650.9849455596916
1.2799999999999996,1714.287372432818
1.2899999999999996,1777.7990299543012
1.2999999999999994,1841.5243196595695
1.3099999999999994,1905.4675086235607
1.3199999999999994,1969.6327347644587
1.3299999999999994,2034.024011328191
1.3399999999999994,2098.6452318495203
1.3499999999999994,2163.5001744870433
1.3599999999999994,2228.592506272084
1.3699999999999994,2293.925787100521
1.3799999999999994,2359.503473784668
1.3899999999999995,2425.328923505044
1.3999999999999995,2491.4053975113156
1.4099999999999995,2557.736064766886
1.4199999999999995,2624.3240046094584
1.4299999999999995,2691.1722104307
1.4399999999999995,2758.28359246982
1.4499999999999995,2825.66098061347
1.4599999999999995,2893.307127117067
1.4699999999999993,2961.224709562149
1.4799999999999993,3029.416332898704
1.4899999999999993,3097.884532352115
1.4999999999999993,3166.631775332789
1.5099999999999993,3235.660463994542
1.5199999999999994,3304.9729372899856
1.5299999999999994,3374.571472880884
1.5399999999999994,3444.45828930568
1.5499999999999994,3514.6355479625813
1.5599999999999994,3585.105354644009
1.5699999999999994,3655.8697616015916
1.5799999999999994,3726.9307690335822
1.5899999999999994,3798.2903267959955
1.5999999999999994,3869.950336072887
1.6099999999999994,3941.912650785522
1.6199999999999992,4014.179078964152
1.6299999999999992,4086.751384306053
1.6399999999999992,4159.631287610481
1.6499999999999992,4232.8204677811655
1.6599999999999993,4306.320563330274
1.6699999999999993,4380.133173408192
1.6799999999999993,4454.25985924854
1.6899999999999993,4528.70214500823
1.6999999999999993,4603.461518936276
1.7099999999999993,4678.539434605982
1.7199999999999993,4753.93731154544
1.7299999999999993,4829.656536688377
1.7399999999999993,4905.6984649143615
1.7499999999999993,4982.064420144763
1.7599999999999993,5058.755696329174
1.7699999999999994,5135.773557923461
1.7799999999999994,5213.119241148056
1.7899999999999991,5290.793954561755
1.7999999999999992,5368.7988797511
1.8099999999999992,5447.135172269248
1.8199999999999992,5525.803962247674
1.8299999999999992,5604.80635503658
1.8399999999999992,5684.1434320522685
1.8499999999999992,5763.816251210322
1.8599999999999992,5843.825847744471
1.8699999999999992,5924.1732346567605
1.8799999999999992,6004.85940346561
1.8899999999999992,6085.88532463056
1.8999999999999992,6167.251948187043
1.9099999999999993,6248.960204236354
1.9199999999999993,6331.011003557707
1.9299999999999993,6413.405237943089
1.939999999999999,6496.143780877035
1.949999999999999,6579.227487851136
1.959999999999999,6662.657196890982
1.969999999999999,6746.4337290293815
1.979999999999999,6830.557888726243
1.989999999999999,6915.030464102175
1.9999999999999991,6999.852227696621
2.009999999999999,7085.023936551854
2.019999999999999,7170.546332644458
2.029999999999999,7256.420143575723
2.039999999999999,7342.646082366695
2.049999999999999,7429.224848267537
2.059999999999999,7516.1571269384995
2.069999999999999,7603.443590713102
2.079999999999999,7691.08489898828
2.089999999999999,7779.081698652797
2.099999999999999,7867.4346240657305
2.109999999999999,7956.144297739719
2.119999999999999,8045.21133021943
2.129999999999999,8134.636320798358
2.1399999999999992,8224.419857342406
2.149999999999999,8314.56251699653
2.1599999999999993,8405.064865954098
2.169999999999999,8495.927460109635
2.1799999999999993,8587.150845174216
2.189999999999999,8678.73555674206
2.199999999999999,8770.68212079694
2.209999999999999,8862.99105368164
2.219999999999999,8955.66286246305
2.229999999999999,9048.698045115832
2.239999999999999,9142.097090702322
2.249999999999999,9235.860479593262
2.259999999999999,9329.98868355175
2.269999999999999,9424.48216616913
2.279999999999999,9519.341382764625
2.289999999999999,9614.566780725934
2.299999999999999,9710.158799669036
2.309999999999999,9806.11787155065
2.319999999999999,9902.44442086654
2.329999999999999,9999.138864891476
2.339999999999999,10096.20161364994
2.3499999999999988,10193.633070195106
2.359999999999999,10291.433630796371
2.3699999999999988,10389.603684991174
2.379999999999999,10488.143615723244
2.389999999999999,10587.053799522839
2.399999999999999,10686.334606684768
2.409999999999999,10785.986401266473
2.419999999999999,10886.009541394918
2.429999999999999,10986.404379171609
2.439999999999999,11087.171261019741
2.449999999999999,11188.310527540829
2.459999999999999,11289.822514035564
2.469999999999999,11391.707550134646
2.479999999999999,11493.965960138321
2.489999999999999,11596.59806335415
2.4999999999999987,11699.604173766975
2.509999999999999,11802.984600417734
2.5199999999999987,11906.739647292145
2.529999999999999,12010.869613785158
2.5399999999999987,12115.374794408928
2.549999999999999,12220.255479032205
2.5599999999999987,12325.511953118215
2.569999999999999,12431.144497561587
2.5799999999999987,12537.15338892344
2.589999999999999,12643.538899443227
2.5999999999999988,12750.301297182385
2.609999999999999,12857.440846122414
2.6199999999999988,12964.957806084041
2.629999999999999,13072.852433133705
2.639999999999999,13181.124979233906
2.649999999999999,13289.775692602994
2.659999999999999,13398.804817762964
2.6699999999999986,13508.212595452973
2.679999999999999,13617.999262985875
2.6899999999999986,13728.165053893228
2.699999999999999,13838.710198368635
2.7099999999999986,13949.634923310437
2.719999999999999,14060.939452008257
2.7299999999999986,14172.624004672283
2.739999999999999,14284.688798206822
2.7499999999999987,14397.134046293757
2.759999999999999,14509.95995965284
2.7699999999999987,14623.166745768229
2.779999999999999,14736.754609280355
2.7899999999999987,14850.723751799676
2.799999999999999,14965.074372074987
2.8099999999999987,15079.806665938833
2.819999999999999,15194.920826607582
2.8299999999999987,15310.417044314576
2.8399999999999985,15426.29550683078
2.8499999999999988,15542.556399096602
2.8599999999999985,15659.19990356356
2.8699999999999988,15776.226200091249
2.8799999999999986,15893.63546602127
2.889999999999999,16011.427876295018
2.8999999999999986,16129.603603215555
2.909999999999999,16248.162817008233
2.9199999999999986,16367.105685403823
2.929999999999999,16486.432373709576
2.9399999999999986,16606.1430451905
2.949999999999999,16726.237860739697
2.9599999999999986,16846.716979081026
2.969999999999999,16967.580556882414
2.9799999999999986,17088.828748602293
2.9899999999999984,17210.461706601964
2.9999999999999987,17332.47958130188
3.0099999999999985,17454.882520982243
3.0199999999999987,17577.670672071617
3.0299999999999985,17700.844178946627
3.0399999999999987,17824.403184130893
3.0499999999999985,17948.34782827149
3.0599999999999987,18072.678250159443
3.0699999999999985,18197.394586660983
3.0799999999999987,18322.496973003676
3.0899999999999985,18447.985542618062
3.0999999999999988,18573.860427067837
3.1099999999999985,18700.121756423596
3.1199999999999988,18826.76965888144
3.1299999999999986,18953.804261091627
3.1399999999999983,19081.22568813173
3.1499999999999986,19209.034063257342
3.1599999999999984,19337.22950840742
3.1699999999999986,19465.81214377676
3.1799999999999984,19594.78208818745
3.1899999999999986,19724.139458793998
3.1999999999999984,19853.884371454118
3.2099999999999986,19984.016940433303
3.2199999999999984,20114.537278597447
3.2299999999999986,20245.44549742762
3.2399999999999984,20376.741707034536
