Lambda Mu Alpha CompressionNormMax TensionNormMax SimpleShearNormMax TotalCostNormMax
2.121 0.738 -21.642 0.068 0.044 0.074 0.062
2.121 0.738 -21.642 0.068 0.044 0.074 0.062
2.121 0.738 -21.642 0.068 0.044 0.074 0.062
2.121 0.738 -21.642 0.068 0.044 0.074 0.062
2.109 0.739 -21.594 0.066 0.045 0.075 0.062
2.109 0.739 -21.594 0.066 0.045 0.075 0.062
2.109 0.739 -21.594 0.066 0.045 0.075 0.062
2.109 0.739 -21.594 0.066 0.045 0.075 0.062
2.105 0.740 -21.545 0.065 0.045 0.075 0.062
2.105 0.740 -21.545 0.065 0.045 0.075 0.062
2.105 0.740 -21.545 0.065 0.045 0.075 0.062
2.105 0.740 -21.545 0.065 0.045 0.075 0.062
2.103 0.741 -21.563 0.066 0.045 0.074 0.062
2.103 0.741 -21.563 0.066 0.045 0.074 0.062
2.103 0.741 -21.563 0.066 0.045 0.074 0.062
2.103 0.741 -21.563 0.066 0.045 0.074 0.062
2.105 0.740 -21.560 0.066 0.045 0.075 0.062
2.105 0.740 -21.560 0.066 0.045 0.075 0.062
2.105 0.740 -21.560 0.066 0.045 0.075 0.062
2.105 0.740 -21.560 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.557 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
2.105 0.740 -21.558 0.066 0.045 0.075 0.062
