,Stretches,P
0,1.0,-0.00041289634293839936
1,0.98,-0.042699535103147335
2,0.96,-0.08705922403812977
3,0.94,-0.13365001368724028
4,0.9199999999999999,-0.18264539584019102
5,0.8999999999999999,-0.23423617197520533
